partner,score
Vayne,0.9750756006221586
Jayce,0.8749974279672775
Kennen,0.8611673653931494
Teemo,0.8466755905367983
Pantheon,0.8264501901367521
Viktor,0.8254926036280475
Gnar,0.8252636022357679
Ambessa,0.8243570167464173
Singed,0.8073439569603053
Volibear,0.8046107223121076
Darius,0.8035883762470528
Tryndamere,0.7931045131146598
Poppy,0.7802570075156028
Urgot,0.7799528881256306
Varus,0.7774070759931327
Cassiopeia,0.7722191546513673
Fiora,0.7718913847661203
Zaahen,0.7684839125159356
Riven,0.7583545062924096
Vladimir,0.7574059536873001
Kayle,0.7543885190098083
Camille,0.7491932581038826
Smolder,0.7409412726385621
Renekton,0.7407372877484845
Quinn,0.7296585345700141
Jax,0.7292844875870835
Sylas,0.7277214338669897
Sett,0.7229546219066076
Akali,0.7215637257970424
Warwick,0.712064147217037
Heimerdinger,0.7106862522089713
Gragas,0.7089062952201955
Karma,0.7087864439980281
Trundle,0.7054909475275125
Yorick,0.705127417937741
Ryze,0.7043797005727773
Aurora,0.6892581936972697
Yone,0.688173280038004
Gwen,0.6802279119303288
Wukong,0.6788776639329452
Aatrox,0.6726065564688765
Rumble,0.6678596425201618
Malphite,0.6648105391890021
Shen,0.6575263118611901
Mordekaiser,0.6539131772204949
Gangplank,0.6489878819471017
Garen,0.6467485232829665
Irelia,0.6466237789962933
Illaoi,0.6378371106928339
Olaf,0.6347171233285415
Nasus,0.6232550587917898
Rengar,0.6112559124631959
Yasuo,0.610504964766446
Ornn,0.5985190546825536
Kled,0.5570578744632718
Swain,0.5476116688105134
Udyr,0.5392912042216642
TahmKench,0.5293877706469515
Galio,0.5060672376021174
KSante,0.4921000931912509
Maokai,0.47266599479911
Zac,0.46518546080423834
ChoGath,0.4337177067340476
DrMundo,0.3767506666488954
