partner,score
Poppy,0.9187535070065662
Camille,0.8845040583312048
Tryndamere,0.8608627339265226
Vayne,0.8439460855539519
Irelia,0.8383339569987859
Quinn,0.8213955989016485
Singed,0.8085624804761932
Garen,0.8075194700710311
Fiora,0.8061454904900256
Renekton,0.805154348227084
Ambessa,0.7906121081956252
Shen,0.7845357359977541
Volibear,0.7675621898700966
Olaf,0.762159507625112
Rengar,0.7597270662116147
Kled,0.74840867123385
Sylas,0.7469033966461311
Illaoi,0.7462862567732722
Zaahen,0.7456987820504141
Malphite,0.7428207397133426
Trundle,0.7392825079926332
Darius,0.7352356664150377
Wukong,0.7336659634356728
Jayce,0.732706089948757
Warwick,0.7225203032701785
Riven,0.7216857116716489
Yorick,0.7174395718204236
Yone,0.7156470679110402
Heimerdinger,0.7123793508810663
Sett,0.7092957462568169
Viktor,0.6892046557937229
Pantheon,0.684608132648372
Yasuo,0.6835986902830495
Jax,0.6827238779233056
Vladimir,0.6820507668635856
Varus,0.6798401896587427
Kennen,0.6756738104861647
Kayle,0.6653903666717408
Smolder,0.6649982872327285
Rumble,0.6621186209252092
Nasus,0.6549456339635804
Gragas,0.648727955908523
Cassiopeia,0.6481566365334478
Mordekaiser,0.6456590375945092
Akali,0.640818738193658
Urgot,0.6383646067492896
Karma,0.6375127094206805
Ryze,0.634515089505097
Udyr,0.629778404161866
Teemo,0.6244731931481494
Gnar,0.6213992960322388
Aurora,0.620812577190815
Aatrox,0.6178587363766425
Gwen,0.6178004536835564
KSante,0.6116975068126058
Galio,0.6096576201041284
Zac,0.6032436283683072
Gangplank,0.5752030066372814
TahmKench,0.5635374980077112
Sion,0.5476116688105134
Ornn,0.538419511661226
DrMundo,0.5344204678762733
Maokai,0.5329426944801751
ChoGath,0.5032821708184627
