partner,score
Poppy,1.0127444648913757
Urgot,0.9756666983735441
Renekton,0.9729944838952618
Volibear,0.967147987921915
Karma,0.9587389169293848
Pantheon,0.9510245935994641
Gragas,0.9489799911936083
Wukong,0.9471160929092673
Rumble,0.9325702483878882
Zaahen,0.931872243208121
Sett,0.9179626606139467
Udyr,0.912851683828965
Vayne,0.9122038582583906
Quinn,0.9097021069968975
Kennen,0.9095932268712613
Malphite,0.9041402076506435
Illaoi,0.9023540938970773
Gnar,0.9010978907660636
Jayce,0.8998779296627778
Viktor,0.8973474373988432
Darius,0.8960205581953691
Heimerdinger,0.8900900766152658
Singed,0.8880978556525088
Riven,0.8869031640721559
Camille,0.8819005276451265
Tryndamere,0.8801218090778195
Garen,0.8756509309337339
Warwick,0.8700883577532215
Teemo,0.8698931196767669
Trundle,0.8664041420926926
Ambessa,0.8604082863816863
Kayle,0.8596507880745557
Kled,0.8486718992499311
Mordekaiser,0.8360742552782291
Smolder,0.8357002509592432
Shen,0.8340151730036424
Akali,0.8331984924996358
Aatrox,0.8274643915418057
Ornn,0.8241379330198166
Varus,0.8219404273266694
Rengar,0.8210770547534408
Aurora,0.8173849742448244
Fiora,0.8121562831752985
ChoGath,0.8096589168746684
Jax,0.805139081503095
KSante,0.8036912485774151
TahmKench,0.785181610962389
Vladimir,0.7840950317169985
Yorick,0.7833628420300169
Ryze,0.7721580505567307
Nasus,0.7532576700683423
Swain,0.7469033966461311
Maokai,0.745904989183138
Olaf,0.7398421963384584
Yone,0.7389350227033472
Irelia,0.7388146020312291
Cassiopeia,0.7338429290184169
Gangplank,0.7327189289968773
Sion,0.7277214338669897
Zac,0.727500113431793
Yasuo,0.7058910172530999
Gwen,0.6974613661320839
DrMundo,0.6753484119655947
Galio,0.6087738114986992
