partner,score
Volibear,1.0001587375140766
Darius,0.9771228035893894
Fiora,0.9445852485652012
Zaahen,0.9287722671012053
Renekton,0.9283261881694204
Tryndamere,0.9265250535104194
Riven,0.8973953054172178
Singed,0.885140961013492
Garen,0.8760303010753724
Heimerdinger,0.8744320336072393
Kled,0.8736047868963185
Smolder,0.8723552048448883
Yone,0.867469732767523
KSante,0.8644516207136715
Ambessa,0.8578500551675524
Shen,0.8561456113336026
Trundle,0.8541490121775667
Camille,0.8536147868601681
Warwick,0.8509907332930379
Udyr,0.8468155827869951
Jax,0.8416410065862009
Poppy,0.8412906580517279
Illaoi,0.8348262367641206
Vayne,0.8229887276890716
Mordekaiser,0.8196809413335572
Pantheon,0.8144722663183014
Urgot,0.808326589172243
Sett,0.8054925766685429
Varus,0.7994493628059741
Aatrox,0.7981893763950342
Akali,0.7930767314991667
Wukong,0.7930157799559666
Ornn,0.7884214259196763
Karma,0.7863376935844755
Sylas,0.7840950317169985
Gragas,0.7767451640993929
Gwen,0.7715786843304329
ChoGath,0.7703416927455987
Yasuo,0.7689230666446021
Gnar,0.7674344124759497
Viktor,0.7654554807257474
Rengar,0.7651582173570156
Jayce,0.7645790638651005
Kennen,0.7626044032115791
Yorick,0.7611720570906234
Irelia,0.7607948465798716
Rumble,0.7593100797642772
Galio,0.7579663381852139
Nasus,0.7575499363145031
Sion,0.7574059536873001
Olaf,0.7447176236331093
Quinn,0.7430557456618745
Malphite,0.7386350151584778
TahmKench,0.7096345444049016
Kayle,0.701630919141263
Ryze,0.6974425321966363
Zac,0.6952774250662935
Teemo,0.6921742586453631
Swain,0.6820507668635856
Aurora,0.678216377993608
Gangplank,0.6655010124104169
Cassiopeia,0.665248586690397
Maokai,0.6348591795329047
DrMundo,0.5915164076196506
