partner,score
Vladimir,1.0001587375140766
Sylas,0.967147987921915
Ryze,0.9621132981324894
Rumble,0.9567413305880953
Quinn,0.9531409477693877
Poppy,0.9115811425620374
DrMundo,0.9114727492659429
Jayce,0.9032825952302626
Ambessa,0.8821671721747149
Viktor,0.882058806439052
Pantheon,0.8816152643974406
Varus,0.8727283248405762
Nasus,0.8664963783320079
Gragas,0.8645424854317898
Yorick,0.8623799016248339
Galio,0.8586279072259395
Illaoi,0.8556909294934305
Kennen,0.8489029461250035
Malphite,0.8480962697843676
Irelia,0.8426042404656982
Shen,0.8375030699687315
Garen,0.8355439970304382
Rengar,0.8295165279306298
Yone,0.82602159870192
TahmKench,0.8252120477423242
Smolder,0.8244725607878416
Urgot,0.8205854907005774
ChoGath,0.8174995912034668
Ornn,0.8151681860807576
Kayle,0.813008568725909
Maokai,0.811423631687348
Teemo,0.8112135965185205
Vayne,0.8090423680705028
Gnar,0.8071200775667753
Sion,0.8046107223121076
Singed,0.8033588076948176
Yasuo,0.8026073675282858
Gwen,0.7963865512043176
Riven,0.7880093803359798
Aatrox,0.7860292364248925
Aurora,0.7816039675317938
Karma,0.781558655175978
KSante,0.7810097404177804
Heimerdinger,0.7787232674582898
Zac,0.7744717135550664
Renekton,0.7696365705344101
Swain,0.7675621898700966
Cassiopeia,0.7637226501858096
Mordekaiser,0.7627039310475069
Gangplank,0.7541034902831448
Fiora,0.7523893956763354
Olaf,0.752182148861175
Akali,0.749663508519646
Udyr,0.7461113285090658
Kled,0.7399498328586613
Sett,0.7346772797442477
Trundle,0.7237504605234528
Camille,0.7210242799620803
Zaahen,0.7174310600530989
Tryndamere,0.7076528365086492
Wukong,0.6819905889897455
Darius,0.670129529381027
Warwick,0.6398701963482325
Jax,0.6365294356936313
