partner,score
Kayle,0.9184854632381836
Vayne,0.8549179581961951
Smolder,0.8378613865917869
Varus,0.826557792570323
Jayce,0.7947284968960264
Kennen,0.7909929682276142
Karma,0.7747181497802451
Volibear,0.7744717135550664
Gnar,0.770332942092009
Aurora,0.761485244782029
Viktor,0.760644628799606
Ryze,0.7603501326254443
Teemo,0.7541152632408793
Heimerdinger,0.7514946927352677
Pantheon,0.745971325924927
Quinn,0.7368899579025678
Darius,0.7355476960712456
Fiora,0.732258625930055
Singed,0.7307382376314222
Sylas,0.727500113431793
Urgot,0.7213149584860308
Sett,0.7176738717530089
Shen,0.715920966152076
Tryndamere,0.7143473930094225
Nasus,0.7098069521370065
Yorick,0.7058491880128364
Ambessa,0.6980429558956225
Vladimir,0.6952774250662935
Gangplank,0.6881935725247496
Rumble,0.6875119495325905
Renekton,0.6814153535083547
Ornn,0.6806393543225445
Olaf,0.6794857572175962
Aatrox,0.6780866944483214
Akali,0.6716585732980969
Gragas,0.6704102889776813
Zaahen,0.661093531885226
Wukong,0.6604369448202221
Riven,0.6601419129862991
Jax,0.6586677574486173
Camille,0.6566957756857716
Galio,0.6551175604290459
Illaoi,0.6545347173482012
Poppy,0.645573854037358
Gwen,0.6439927794401241
Trundle,0.6407249736267242
Cassiopeia,0.6377310139379799
Mordekaiser,0.6321076220636964
Yone,0.6289245423410035
Malphite,0.616552430361159
ChoGath,0.6137889248925956
Kled,0.6069680102120745
Swain,0.6032436283683072
Garen,0.5989868138299588
Irelia,0.5988954173373919
KSante,0.5854955599087796
Rengar,0.5749081435482735
TahmKench,0.5743187431569249
DrMundo,0.5689867531571975
Warwick,0.5519954958153821
Udyr,0.5431390065039078
Yasuo,0.5421550826942045
Maokai,0.4823940528507292
Sion,0.46518546080423834
