partner,score
Warwick,1.0616921858472035
Poppy,1.0339397984319942
Trundle,0.9837043223919467
Cassiopeia,0.9791152239235676
Ambessa,0.9755172174603847
Singed,0.9685897132307588
Vayne,0.9650763878659683
Fiora,0.9618677053279561
Gragas,0.9563290135603565
Akali,0.9563002918480098
Smolder,0.9544069325171606
Urgot,0.9539027766234455
Udyr,0.9450928058407905
Wukong,0.9443937320996213
Kayle,0.9427574745208368
KSante,0.9415469108094804
Jax,0.9375848112645632
Aurora,0.9359732164203425
Shen,0.9358995562212643
Gangplank,0.9353783591984879
Zaahen,0.9352845232662472
Garen,0.9321245906472357
Darius,0.9311044769806537
Gnar,0.9305513109288809
Ryze,0.9278051869298394
Aatrox,0.9277200312323443
Kled,0.9252513847627496
Tryndamere,0.9236536695740712
Heimerdinger,0.9227346559066706
Renekton,0.9187848786880503
Volibear,0.9152242141765147
Galio,0.91097436404584
Pantheon,0.9088610644216263
Sett,0.9082876475023723
Illaoi,0.9065706637632632
Irelia,0.9046415642600439
Teemo,0.9039352873282972
Varus,0.9032092499944698
Quinn,0.8990775329122075
Yasuo,0.8990653288219286
Jayce,0.8986926460915454
Camille,0.8947506215017388
Kennen,0.8902867025292774
Viktor,0.8868463113022474
Riven,0.8796027619624718
Yone,0.8794683177947296
Rumble,0.8689528404847114
Malphite,0.8668194780511517
Swain,0.8635807427971129
Olaf,0.8623338451976402
Gwen,0.8542799171373836
Vladimir,0.8307102623668412
Sylas,0.8291548154148161
Rengar,0.8271885850624469
Nasus,0.8263257604902415
Yorick,0.7874823998404591
Mordekaiser,0.7685320700970184
Maokai,0.752694806176305
Ornn,0.7331636583436153
Sion,0.7187828889175424
TahmKench,0.7052550935267297
Karma,0.7020048616415576
DrMundo,0.6937624357437336
Zac,0.6897590814884275
