partner,score
Sylas,1.0185231236740782
Camille,1.0042842254999333
Garen,0.9901107564370834
Galio,0.9863142964270449
Sion,0.9854646418951493
Olaf,0.9798993391868515
Ornn,0.9738377154301002
Kled,0.9709643589454279
TahmKench,0.9699613524424574
Urgot,0.9656248274860691
Gragas,0.961930890018585
Maokai,0.9515010522590737
Smolder,0.9499304396525794
Zaahen,0.9448975091696148
Gangplank,0.944400703538602
Shen,0.9419086398627706
Wukong,0.9398468722417667
Jax,0.9396192785041757
Ambessa,0.9389656921100146
Mordekaiser,0.9361946411441359
Yorick,0.9318646323979481
ChoGath,0.9305513109288809
Aatrox,0.9296086194293774
Nasus,0.9291166692627816
Poppy,0.9260762183942741
KSante,0.9251411187191787
Renekton,0.9224561668658654
Viktor,0.9219180888144943
Akali,0.9176535924492184
Volibear,0.9145808924137052
Gwen,0.9116000410265186
Irelia,0.9074566065613788
Illaoi,0.8998658799027616
Rumble,0.8996239906412331
Sett,0.8994296716348514
Yasuo,0.898309237690241
Yone,0.897656524096432
Udyr,0.8964342845007367
Singed,0.8930016278596119
Vladimir,0.8927640267452733
Riven,0.890802861291891
DrMundo,0.8900734553818684
Darius,0.8882400557413243
Trundle,0.885305497643664
Malphite,0.8665662098890389
Fiora,0.8548268440136025
Pantheon,0.8528981556239648
Warwick,0.8525692420813896
Zac,0.8391802094331647
Varus,0.8363049787111861
Ryze,0.8329466049837841
Rengar,0.8320351873855397
Cassiopeia,0.8245642833552472
Karma,0.8130215785037014
Tryndamere,0.8101215401832169
Heimerdinger,0.8031505512585607
Swain,0.8020935737574583
Quinn,0.7867714540922012
Jayce,0.7831398190706965
Kayle,0.7735697466231025
Teemo,0.768408784108038
Aurora,0.7580709466165446
Kennen,0.7332052904924824
Vayne,0.7044009056465822
