partner,score
Illaoi,1.0880861361034657
Urgot,1.0709668176623341
Smolder,1.050329591718838
Garen,1.0395109752536438
Aatrox,1.0341386069945204
Renekton,1.0187090077794723
Mordekaiser,1.0130934578137876
Shen,1.01180180062897
Singed,1.007720553123171
Ryze,1.0046308787622371
Sett,1.000243462855051
Rumble,0.998192107446702
Gwen,0.9964096169036609
Volibear,0.9926790155658317
Poppy,0.9897364204190031
Galio,0.986004911858523
Gangplank,0.9858163428967812
KSante,0.9771325513259986
Ornn,0.9725399575353402
Darius,0.966608392845636
Cassiopeia,0.9636178319445934
Trundle,0.9623103786908347
Sylas,0.9606833199185074
Jax,0.9603642438413185
Kled,0.9594153751471558
Olaf,0.9584748938595508
Camille,0.9571293912294924
Swain,0.9546701409635129
DrMundo,0.9538068293672387
Warwick,0.9535574734853018
Zaahen,0.9471903917686968
Akali,0.945099342851182
Vayne,0.9428557736820485
Pantheon,0.941865769304837
Fiora,0.9369939979852567
Kayle,0.9299801022425721
Teemo,0.928038244107954
Heimerdinger,0.9274486079965406
Aurora,0.9273991538429165
Gragas,0.9239662938164629
Ambessa,0.9221173961001721
Varus,0.921947542374211
Karma,0.9085200508404436
Gnar,0.9074566065613788
Sion,0.9061165214773564
ChoGath,0.9046415642600439
Viktor,0.8889242030416945
TahmKench,0.8853729841189552
Jayce,0.876143251793816
Riven,0.8691483807629394
Udyr,0.8666714097002357
Nasus,0.8641891066576836
Kennen,0.8614311275735399
Maokai,0.8604664762456474
Zac,0.8574709922867663
Vladimir,0.8535534325447571
Yorick,0.8438596483705613
Wukong,0.8356809047274568
Malphite,0.8150025406420887
Quinn,0.8124962848986885
Yone,0.7994097440033692
Tryndamere,0.7162534753415193
Yasuo,0.6977411324448387
Rengar,0.6516984036170612
