partner,score
Trundle,1.0220660996512838
Aatrox,0.99991685586092
Sett,0.9948954129936988
Fiora,0.9680849667643214
Kled,0.9646069922607821
Garen,0.9469066122737364
Shen,0.9433469647305583
Camille,0.9412012671459279
Gwen,0.9394398663180658
Urgot,0.92902761398293
Warwick,0.9287419906946948
Tryndamere,0.9189467854449471
Zaahen,0.9185984633988142
Kayle,0.914613230096038
Poppy,0.9138391515161635
Smolder,0.9114973687238073
Irelia,0.9085200508404436
Olaf,0.9001667451418862
Renekton,0.8979750633652432
Cassiopeia,0.8938161326689387
Ambessa,0.8917019326816739
Singed,0.8829995667840966
Volibear,0.8820071193192995
KSante,0.8751973130551017
Aurora,0.871851533166458
Yasuo,0.8710370409906063
Ryze,0.8650736071712949
Heimerdinger,0.863078122139703
Illaoi,0.8524990729831892
Gragas,0.8524979219744538
Wukong,0.8494369458798494
Jayce,0.8471042772647005
Yone,0.8460562820724535
Galio,0.8360461923358555
Viktor,0.8326373449703567
Darius,0.8303801345059025
Jax,0.8238445468890098
Udyr,0.8207622071993596
Vayne,0.8205050886001005
Mordekaiser,0.8202653446453546
Pantheon,0.8200435246924332
Riven,0.8171505741887762
Yorick,0.816757924525022
Gnar,0.8130215785037014
Teemo,0.8108377454674817
Vladimir,0.800288307662465
Gangplank,0.7939825599135388
Rumble,0.7934586499579329
Sylas,0.7904643859572008
Nasus,0.7868755246997541
Quinn,0.785515645024257
Akali,0.7836483940246632
Kennen,0.7832261219508485
Varus,0.7832255971610611
Ornn,0.7774763297525207
Swain,0.7679384626143617
Zac,0.7570481791584406
Rengar,0.7501069555212594
TahmKench,0.7310460796802105
Maokai,0.7238470148280539
Malphite,0.7185880267655549
DrMundo,0.7159499161814704
ChoGath,0.7020048616415576
Sion,0.6803013234311811
