partner,score
Smolder,1.0731373796584085
Sylas,1.0639124314260608
Olaf,1.047403413960831
Galio,1.038358388380714
Shen,1.0243830371764135
Garen,1.0173192874145265
Nasus,1.0146843819915126
Gwen,1.0135648870154965
Ryze,1.0091502944390822
Mordekaiser,1.0091326433783867
Trundle,1.002323374064037
Warwick,1.0011370299949873
Camille,0.999142110444386
TahmKench,0.9940916409787948
Zaahen,0.9934271437487842
Urgot,0.9893001523395318
Kled,0.9883536051428391
Singed,0.9881412069189788
Ornn,0.9872584204215684
Viktor,0.9862590721574739
DrMundo,0.9847795686128277
Sett,0.9800301445027536
Volibear,0.978072583409934
Rumble,0.9775674201681661
Kayle,0.9717076316453671
Yone,0.9707993750867567
Ambessa,0.9702117356316312
Riven,0.9693288119984571
Aatrox,0.963875507855547
Udyr,0.9583988496709737
Zac,0.9511164633780198
KSante,0.9422972328708591
Irelia,0.941865769304837
Gangplank,0.941102980202841
Cassiopeia,0.9392631740455603
Renekton,0.9337666132996914
Darius,0.9294057768415009
Varus,0.9290576921219641
Swain,0.9260457802285568
Illaoi,0.9233038826716802
Yorick,0.9198983412494577
Jax,0.9178664751535945
Fiora,0.9175443355382069
Gragas,0.9165161714761507
Yasuo,0.9106562363001177
ChoGath,0.9088610644216263
Sion,0.9082100356203314
Poppy,0.9046558272799199
Tryndamere,0.9041714518256859
Maokai,0.9027401696026676
Vladimir,0.9026575889494095
Heimerdinger,0.8861564605018115
Quinn,0.8860660590548708
Akali,0.8847201855029652
Wukong,0.8777163066440503
Teemo,0.8770944827255966
Malphite,0.8749860906495428
Gnar,0.8528981556239648
Rengar,0.8501435787708074
Aurora,0.8290583740056586
Jayce,0.8213020280940282
Karma,0.8200435246924332
Vayne,0.8157547835758788
Kennen,0.8103670246998838
