partner,score
Galio,1.09684030472851
Sylas,1.0748750696025882
Smolder,1.0466474347909989
Rumble,1.0410881520105673
Nasus,1.039006139778093
Yorick,1.0384427719819376
Ornn,1.0299074369645935
Urgot,1.0203605102084243
Irelia,1.0187090077794723
Gragas,1.0125109463557846
Yasuo,1.0108694626000987
Cassiopeia,1.0016610064452434
Olaf,0.9952488804470655
Kayle,0.9945883469324808
Varus,0.9929671375406054
Trundle,0.9902136830688403
Teemo,0.9865383819257347
DrMundo,0.9862374804033381
Ryze,0.9859775576318597
Shen,0.9855587282314529
Garen,0.9817057764453685
Rengar,0.9789720765990098
Viktor,0.9779788334008883
Yone,0.9765304556569208
Gwen,0.9757125212494888
TahmKench,0.9722447789657936
Camille,0.9698367853643988
Swain,0.9663780421670793
Kled,0.962264806868385
Ambessa,0.9618542226828433
Aatrox,0.9616527561920305
Wukong,0.9611680240236506
Singed,0.9581063334155615
Vladimir,0.9562441055925088
Mordekaiser,0.9491535555959298
Jayce,0.9467217236420615
Gangplank,0.9462283318862388
Maokai,0.9453423077035099
Vayne,0.9411909164142489
Sett,0.9378470683846165
Sion,0.9361827891040715
Darius,0.9358863633649452
Pantheon,0.9337666132996914
KSante,0.9309887558716051
Poppy,0.9261644332890693
Akali,0.925040327299345
Gnar,0.9224561668658654
Quinn,0.9214822102527389
ChoGath,0.9187848786880503
Fiora,0.9142030212098715
Kennen,0.9088736726308216
Illaoi,0.9001785200190616
Tryndamere,0.8982922035275929
Karma,0.8979750633652432
Warwick,0.8977312935457599
Malphite,0.8857466669004943
Riven,0.877661752858428
Udyr,0.8767950901050028
Zaahen,0.8710514046336608
Heimerdinger,0.8666302935042555
Aurora,0.8628696440295587
Zac,0.8545191433624478
Volibear,0.8368289215134385
Jax,0.8318226835033771
