partner,score
Camille,1.0566218559354101
Wukong,1.040562792912817
Poppy,1.0306066572190198
Pantheon,1.0091502944390822
Irelia,1.0046308787622371
Warwick,1.0044598553764619
Sett,0.9947855758315663
Urgot,0.9893674963126495
Shen,0.9881420869358148
Renekton,0.9859775576318597
Darius,0.9839567025747022
Singed,0.9810625039905889
Zaahen,0.9793013401803732
Trundle,0.9783936921949836
Volibear,0.9741338735222881
Tryndamere,0.9710222531027249
Udyr,0.9669562490133898
Gwen,0.9630681936614676
Maokai,0.9623634066206388
Yasuo,0.9604331407967522
Kayle,0.9594006374233377
Smolder,0.9585672412764971
KSante,0.9552389262920106
Riven,0.9551470636433758
Aatrox,0.9539137813124641
TahmKench,0.9440756132266076
Kled,0.9438001425236083
Galio,0.9436379720706867
Jax,0.9379919140496943
Mordekaiser,0.9334689115748196
Fiora,0.9317633841764483
Gangplank,0.9290525128937073
ChoGath,0.9278051869298394
Kennen,0.9274209335307098
Nasus,0.9244578038778168
Sion,0.9244122641440536
Quinn,0.924163024917998
Garen,0.9219690913593506
Gragas,0.9166194962811476
Ornn,0.9081250465833575
Malphite,0.9079235587943195
Ambessa,0.9059499560131667
Vayne,0.9035516374180028
Rumble,0.9005985817379558
Jayce,0.8957364065936527
DrMundo,0.8933535179001058
Illaoi,0.8913019694594773
Zac,0.8907116058165925
Sylas,0.8879955885391604
Teemo,0.8864291976645448
Olaf,0.8737018361024886
Vladimir,0.8669020553616784
Karma,0.8650736071712949
Rengar,0.8647776236571834
Akali,0.8600239372485559
Swain,0.8556703800830888
Yone,0.8552852313246988
Heimerdinger,0.852597567141181
Yorick,0.851386678449638
Varus,0.8331575739171366
Gnar,0.8329466049837841
Cassiopeia,0.8327425349404003
Viktor,0.8089392744428678
Aurora,0.7309575761871332
