partner,score
Warwick,1.0440115945349735
Teemo,0.997972222258646
Aurora,0.9947218656025225
Pantheon,0.9940916409787948
Jayce,0.9910346132623545
Poppy,0.988072529085682
Kennen,0.9806978221037251
Renekton,0.9722447789657936
Gnar,0.9699613524424574
Smolder,0.9633256361577944
Vayne,0.9622574187590504
Darius,0.9585657531361048
Tryndamere,0.9578004397329977
Quinn,0.9512197821198936
Fiora,0.9505560274405084
Gangplank,0.945386213943499
Zaahen,0.9452702202986506
Ryze,0.9440756132266076
Singed,0.9433140006053984
Varus,0.9420157012515493
Urgot,0.9330362383711697
Volibear,0.931407318998641
Kayle,0.9289554125015445
Cassiopeia,0.9284711312844418
Trundle,0.9270711722713914
Kled,0.9225446183520936
Ambessa,0.9190791472451532
Aatrox,0.9159000651489334
Heimerdinger,0.9146872029047647
Wukong,0.9137856005554664
Akali,0.9082680570633137
Shen,0.9075768686342672
Galio,0.9035765906713462
KSante,0.897149973863331
Gragas,0.8964875890142734
Jax,0.887414377404145
Swain,0.8872628158369112
Irelia,0.8853729841189552
Sett,0.8837724945557517
Riven,0.879178440912985
Garen,0.873563905131233
Rumble,0.8722979734512282
Gwen,0.8716471643971415
Yasuo,0.8594495652012697
Camille,0.8507677566075079
Viktor,0.8505089747582849
Udyr,0.8481378714216234
Sylas,0.8374983077602388
Mordekaiser,0.8334538334871576
Ornn,0.8304937789760312
Olaf,0.8273335588421276
Vladimir,0.8212403513587408
Illaoi,0.8172159306158656
Yone,0.8109324135520948
Rengar,0.8069207398255781
Malphite,0.7935798806730899
Yorick,0.7723112721872191
Zac,0.7593338255492803
Nasus,0.7461753829170163
DrMundo,0.7433230880487797
Sion,0.7363082492827554
Karma,0.7310460796802105
ChoGath,0.7052550935267297
Maokai,0.7029149446833339
