partner,score
Garen,1.0410199812460894
Galio,1.020415424386954
Kled,1.0078904418561663
Sylas,1.0069454994917004
Camille,1.0029863140329822
TahmKench,0.997972222258646
Shen,0.9897189685824076
Aatrox,0.9876457139516353
Renekton,0.9865383819257347
Singed,0.9782394362820064
Darius,0.9711720135129019
Gragas,0.9669813573480888
Smolder,0.9664785344822211
Olaf,0.9648709983701462
KSante,0.9586777385368067
Warwick,0.956400318065577
Volibear,0.954186471552387
Gwen,0.9510459639197257
Illaoi,0.9491372554514714
Yasuo,0.9490400871487944
Udyr,0.9477399066226562
Zaahen,0.9458584040572198
Viktor,0.9448735525732326
Sett,0.9442399483009767
Poppy,0.9428906246442643
Nasus,0.9417252763178261
Ambessa,0.9413620766633036
Jax,0.9408114276978781
Yone,0.9377059706030023
Trundle,0.9370952443733763
Akali,0.936671756357317
Urgot,0.9357417530796783
Fiora,0.935111266534768
Maokai,0.9327198525846472
Irelia,0.928038244107954
Mordekaiser,0.9268696551752194
Ornn,0.9265096861117241
DrMundo,0.9263910974695466
Vladimir,0.9237027747933215
Wukong,0.9221122398487389
Riven,0.9190868692937844
Cassiopeia,0.9149880552555627
Rumble,0.9145086439665844
Gangplank,0.9106041320073888
Sion,0.9085887346137258
Kayle,0.9061998807398652
ChoGath,0.9039352873282972
Zac,0.9011898084429761
Tryndamere,0.8994518961554501
Yorick,0.8914432723599706
Ryze,0.8864291976645448
Swain,0.8786238390406348
Malphite,0.8774901182081838
Pantheon,0.8770944827255966
Heimerdinger,0.8443266441505133
Varus,0.8369136108409476
Rengar,0.8320129273631063
Karma,0.8108377454674817
Jayce,0.8096258261148507
Aurora,0.8057791154740583
Vayne,0.8052530995808236
Quinn,0.7826692211049622
Gnar,0.768408784108038
Kennen,0.7551222766127523
