partner,score
Sylas,1.088691836132302
Olaf,1.0740970126645868
ChoGath,1.0616921858472035
Gragas,1.060435646970176
Sion,1.0495579873570782
Ornn,1.0462291185426984
TahmKench,1.0440115945349735
Rumble,1.0300066663868037
Urgot,1.0195506737040387
Jayce,1.0178470252596699
Ryze,1.0044598553764619
Yorick,1.004402360923114
Pantheon,1.0011370299949873
Viktor,0.9965835884317857
Akali,0.9851746113360371
Vladimir,0.982802494152398
KSante,0.977995362601708
Aatrox,0.9773716150520285
Maokai,0.9753928204768163
Sett,0.9663523270844628
Kled,0.9656514377261693
Mordekaiser,0.9634791594421852
Teemo,0.956400318065577
DrMundo,0.9563697664491521
Irelia,0.9535574734853018
Gangplank,0.9528308231017686
Gwen,0.9517127319459887
Garen,0.9435191396722596
Nasus,0.9423357899631437
Wukong,0.938361107714646
Cassiopeia,0.934441346588777
Ambessa,0.930052836607599
Karma,0.9287419906946948
Camille,0.9271041163488064
Smolder,0.9259604310549935
Fiora,0.9245594072720452
Malphite,0.9153555121162121
Varus,0.9141855482706176
Shen,0.9138421160766866
Galio,0.9033617756324221
Quinn,0.8997990452723849
Renekton,0.8977312935457599
Aurora,0.8937045725247095
Swain,0.8892991485784917
Trundle,0.8880730627473116
Jax,0.8880055184478455
Illaoi,0.8864488651627948
Yone,0.8793804632539397
Riven,0.8779179836098593
Rengar,0.8770699027246243
Zaahen,0.8530554679256015
Gnar,0.8525692420813896
Poppy,0.8490239231290995
Kayle,0.8469165098526786
Darius,0.843805270307574
Kennen,0.8428303160508064
Udyr,0.8215886659542376
Volibear,0.80056532365662
Vayne,0.7997466295987354
Yasuo,0.7885727068756747
Singed,0.7763261314490721
Heimerdinger,0.7695213213271258
Zac,0.7626400303577673
Tryndamere,0.6987202824604574
