partner,score
Smolder,1.0684064147460393
Viktor,1.0456652135127749
Ryze,1.040562792912817
Sylas,1.0371247712712468
Rumble,1.0316481786140614
Ornn,1.0168513262871444
Olaf,1.0142666538663163
Shen,1.012690163306867
Aatrox,1.011591591457855
Urgot,1.006952778771944
Gragas,1.005775361568128
KSante,1.0022623415895582
Nasus,1.0014336489003224
Kled,0.9934676147625141
Garen,0.9933650638720994
DrMundo,0.9875841227505909
Mordekaiser,0.9814615749373475
Galio,0.981092498950869
Riven,0.9751087662260092
Trundle,0.9724211830601587
Singed,0.9671282049698533
Varus,0.9656410394121728
Renekton,0.9611680240236506
Gwen,0.9608763922774292
Ambessa,0.9538310566393281
Akali,0.9534413735016023
Cassiopeia,0.948226427912857
Sion,0.9452805196816072
ChoGath,0.9443937320996213
Gnar,0.9398468722417667
Warwick,0.938361107714646
Kayle,0.9352002671605092
Volibear,0.9342619972719924
Zaahen,0.924915115523202
Jax,0.9241780895731282
Teemo,0.9221122398487389
Sett,0.9214808919041363
Yorick,0.9212497396062941
TahmKench,0.9137856005554664
Darius,0.9108751614605092
Gangplank,0.9100527205194269
Poppy,0.8997071126717553
Aurora,0.8972489863088561
Camille,0.8926793754506831
Illaoi,0.892233014322346
Fiora,0.8892515904387525
Swain,0.8859911097281624
Jayce,0.8820381480865298
Pantheon,0.8777163066440503
Heimerdinger,0.8745484719895935
Vayne,0.8743900287083882
Udyr,0.8691761885346697
Kennen,0.8579287707251327
Tryndamere,0.8547794609673475
Zac,0.8508648397946819
Maokai,0.8507780784338517
Karma,0.8494369458798494
Quinn,0.8478704869259212
Malphite,0.8459343426398741
Irelia,0.8356809047274568
Vladimir,0.8349069012979154
Yone,0.8349031809880565
Yasuo,0.8324220659551478
Rengar,0.7606915266996035
