partner,score
Galio,1.0881852370890548
Sylas,1.0200315122781451
Pantheon,1.0176338579864561
Poppy,1.0041860502522484
Urgot,0.9949041578874476
Renekton,0.9899493755385627
Malphite,0.988935322389092
Jax,0.9864676618055341
Nasus,0.9814565837809421
Shen,0.97992757515579
Mordekaiser,0.978114083228479
Volibear,0.9751387433932632
Akali,0.9701504760277165
Ryze,0.9697989828199279
Darius,0.966917736586339
TahmKench,0.9654280564876722
Kled,0.9642932276928963
Gragas,0.9632325573640178
Kennen,0.9610144758986596
Trundle,0.9593238635795264
Gangplank,0.9574550315345589
Ornn,0.9561764329207958
Gwen,0.9559734556240226
ChoGath,0.9558019417467952
Illaoi,0.9536452901707605
Garen,0.9500371333199051
Aatrox,0.9488551635961147
Sett,0.9485777360072482
Viktor,0.9459614265382538
Heimerdinger,0.9434253190385716
Cassiopeia,0.9423165999742226
Wukong,0.9418173961011101
Warwick,0.938434781367274
Sion,0.9374648683360535
Gnar,0.937132519040834
Teemo,0.9348926158737052
Vladimir,0.9251343203540551
KSante,0.9245497456317892
Varus,0.923927357855615
Maokai,0.9199289591504184
Kayle,0.9192972547914778
Tryndamere,0.9159086748211914
Zaahen,0.9118276123887367
Camille,0.9114177030937741
Swain,0.9082551739922707
Olaf,0.9079325041383498
Quinn,0.8939063413441767
DrMundo,0.8910675101554143
Fiora,0.8832590459674875
Yorick,0.8803866857201718
Jayce,0.8736693284417164
Udyr,0.8730024646583306
Rumble,0.8719978606252544
Yasuo,0.8672188906050442
Vayne,0.865269603517344
Zac,0.8631130221625215
Aurora,0.862066578271906
Smolder,0.8503393033698106
Riven,0.8450066969826818
Irelia,0.8365997181665469
Karma,0.834801883746221
Singed,0.8328564890287468
Yone,0.7868539630009402
Rengar,0.760527676303507
