partner,score
Shen,1.039975192397537
Galio,1.028481345375376
Zaahen,1.0117000918996961
Sylas,0.997499376421732
Renekton,0.9941862436205623
Illaoi,0.9932009553864658
Camille,0.9889141888685373
Poppy,0.9840517883628525
Gwen,0.9839069490298726
Mordekaiser,0.9820659165222233
Warwick,0.9710219325941686
Kled,0.9700373621479
Garen,0.9694684362810464
Darius,0.9659823568544559
Gangplank,0.9561044753330831
Nasus,0.9511850738296951
Swain,0.9500254434547076
Yasuo,0.9448196964242378
Olaf,0.9307501161862323
Trundle,0.9303813169587368
DrMundo,0.9282742034262376
Jax,0.9278921850549806
Aatrox,0.9260570685113316
Viktor,0.9220216725311697
Volibear,0.9207961610615807
Pantheon,0.913286846841402
Ornn,0.9110665523197016
Singed,0.9063197808971312
Udyr,0.9026854963599066
Vladimir,0.9024695812722152
Zac,0.9009471138149837
Yone,0.8964572001289858
Varus,0.8938508872159536
Sett,0.8902353584427848
Urgot,0.8897394301250089
KSante,0.8877233592663449
TahmKench,0.8873081569858874
Yorick,0.8788762896512392
Ambessa,0.8736693284417164
Kayle,0.87328473093665
Sion,0.8728562938684336
Gragas,0.8721574444865666
Smolder,0.8646158820494412
Tryndamere,0.8636216743647722
Gnar,0.8619741082190655
Fiora,0.8615281258507129
Wukong,0.8584906348900769
Ryze,0.8480609260544596
ChoGath,0.8472008723679465
Rumble,0.8469058170900113
Riven,0.8389694891140974
Akali,0.8373463754855435
Irelia,0.8372615574820875
Karma,0.8355594217029955
Teemo,0.833903839604581
Maokai,0.8332340223299303
Cassiopeia,0.8312267396512936
Heimerdinger,0.8278721449817544
Malphite,0.8214233974808934
Vayne,0.815057701296403
Rengar,0.796843959275391
Quinn,0.787358234293634
Kennen,0.7851276687499158
Aurora,0.7737428950528946
