partner,score
Ryze,1.0561626778128717
Akali,1.0405131199423967
Aatrox,1.0377459270320117
Sett,1.0249872004415321
Galio,1.0200704757103993
Nasus,1.0194590509215353
Kayle,1.0105661019909795
Camille,1.0097508338209025
DrMundo,1.0066713665474731
Smolder,1.0049929809903329
Viktor,1.004242686503944
Ambessa,1.0041860502522484
Vladimir,0.9920183014457981
Jayce,0.9840517883628525
Quinn,0.98310879464697
Swain,0.9812098089221808
Zaahen,0.9808963069480781
Mordekaiser,0.9751163984375316
Fiora,0.9749736313663998
Aurora,0.9748571415214025
Varus,0.9734790982334858
Irelia,0.9693857970986013
Gnar,0.9639007644931246
Cassiopeia,0.962998113534879
Kled,0.9594433516988602
Darius,0.9593916242894364
Teemo,0.959369334154186
Vayne,0.9585851955946916
Trundle,0.9559508332662742
Sylas,0.9533832076835146
Ornn,0.9455034347644254
Yorick,0.9451430116604471
Volibear,0.9442711137224802
ChoGath,0.9408905740136587
Tryndamere,0.9278912126002716
Gwen,0.9274746053105505
Pantheon,0.9236101614674848
TahmKench,0.9220926630001477
Shen,0.9212489669250091
Urgot,0.9173254281554254
Yone,0.9123302398658479
Malphite,0.9080311441139156
Udyr,0.8987850038525201
Singed,0.8962657021199166
Olaf,0.8864316452120534
Wukong,0.8839813202661344
Rumble,0.8827475822448873
Kennen,0.8782469500201603
Sion,0.8746490813406245
Renekton,0.8704309099316074
Gangplank,0.8685898144483606
Garen,0.8651044977771598
Jax,0.8574834353345651
KSante,0.8553231684776443
Maokai,0.8503873424757634
Heimerdinger,0.8481465812973974
Illaoi,0.8451487956303425
Warwick,0.8394586746523882
Yasuo,0.8303967218892946
Gragas,0.8270194135316348
Zac,0.8056771224255561
Riven,0.8013523231318689
Karma,0.7866813995747258
Rengar,0.7725656329871112
