partner,score
Sylas,1.1026678619921508
Galio,1.0981242958846098
Ryze,1.0597692566657937
Varus,1.0412361186555426
Viktor,1.0255120835562157
Camille,1.0253874978775768
Poppy,1.0249872004415321
Gangplank,1.0121534994009533
Illaoi,0.9972106024725761
Vladimir,0.9928789608560589
Aatrox,0.9883013727198297
Nasus,0.9864606179900899
Olaf,0.9845511530827767
Warwick,0.9838700183537529
Swain,0.9835387218169898
Cassiopeia,0.9830381607257721
DrMundo,0.9822557130816074
Gragas,0.9816831317716488
Darius,0.979757194977475
Garen,0.9750618341489042
Akali,0.974181609843227
Rumble,0.9706095850271165
Karma,0.9684943585589699
Kled,0.9672851230846895
Yorick,0.9626921003627835
Kennen,0.9608427985261621
Shen,0.9573984038602462
Udyr,0.9544213679262538
Jax,0.9542180005295771
Yasuo,0.9515063263945401
Ambessa,0.9485777360072482
Gwen,0.945228584631531
Urgot,0.9443545305193516
Wukong,0.9439278865391254
Malphite,0.9433612706471595
Gnar,0.9354870015131812
Zac,0.9350858714459496
Renekton,0.93303824656815
Rengar,0.9327592102310799
ChoGath,0.9319132473123131
Yone,0.9316285350629786
Ornn,0.9298224904945205
Irelia,0.9239447270979102
Mordekaiser,0.9225427921458346
Zaahen,0.9208462265710201
Heimerdinger,0.9173041661527226
Teemo,0.917178968653857
Pantheon,0.9118529198757049
Kayle,0.9104897085897984
Vayne,0.9077119337818074
Smolder,0.90600212804924
TahmKench,0.9059603437036541
Sion,0.9053131070056092
Volibear,0.901483802478852
Trundle,0.8976121914034527
Jayce,0.8902353584427848
Quinn,0.8900588820236845
KSante,0.8844153562674903
Maokai,0.8835810104818542
Fiora,0.8801139989976537
Riven,0.8772382604681598
Tryndamere,0.8746556807748488
Singed,0.8675877543107429
Aurora,0.8666097535726469
