partner,score
Sylas,1.145818925819482
Irelia,1.0559334376380758
Ryze,1.0554683023087987
Galio,1.0495075806061598
Vladimir,1.047004292658411
Jayce,1.039975192397537
Wukong,1.0284786464016262
Malphite,1.0265473632866802
Quinn,1.022660517892599
Camille,1.0183252969741912
Gragas,0.9985841027879384
Urgot,0.9955125341347486
ChoGath,0.9860733012368068
Cassiopeia,0.9842706101461496
Akali,0.9840877096660109
Ambessa,0.97992757515579
Pantheon,0.9790149118991182
Nasus,0.9748664826089016
Tryndamere,0.9729341225105468
Garen,0.9711817096529748
Aatrox,0.9706887944776413
Kayle,0.9655308144381022
Warwick,0.9619436046236362
Yorick,0.9616379604923097
Varus,0.9600591120015985
Jax,0.9590968236687994
Yone,0.9578896872967412
Sett,0.9573984038602462
Darius,0.9559970352650082
Fiora,0.9522699644610877
Rengar,0.9517566453673711
Riven,0.9507473729058948
Zaahen,0.9502823084342132
Viktor,0.9489137973399864
Kled,0.9486106910380917
Gnar,0.9485011238891445
Yasuo,0.9480695556184405
Sion,0.9455256558912924
Gangplank,0.9427519639890286
Kennen,0.941817736351278
Aurora,0.9357335397135909
Vayne,0.9351528541534436
Maokai,0.9349756546495597
Ornn,0.9294390587427774
Gwen,0.9278637755952935
Swain,0.9259948420487453
Rumble,0.9241257346683116
Olaf,0.9219461220863396
Poppy,0.9212489669250091
Heimerdinger,0.9172923918861523
Mordekaiser,0.9153839315437334
Volibear,0.9132206651727085
Smolder,0.912125854066716
Illaoi,0.9106877424239068
Trundle,0.9048105060490188
TahmKench,0.8964274077404598
Udyr,0.888863860433254
Zac,0.8840997205129201
DrMundo,0.8825603395758236
Renekton,0.8752534047914277
Teemo,0.8664209146002181
KSante,0.8539534769281193
Singed,0.8416231686198211
Karma,0.8249617365162393
