partner,score
Ryze,1.022066874709151
Wukong,1.0041317901310072
Quinn,0.9969796358837925
Sylas,0.9910818202583868
Galio,0.9836766699247785
Camille,0.9610295393733648
Varus,0.9610158176523832
Pantheon,0.9544276545696724
Viktor,0.9516254300306889
Irelia,0.9481942339695683
Urgot,0.9402085951415298
TahmKench,0.9401292850321814
Gnar,0.9376653140588889
Swain,0.9355862342054992
Jax,0.9347423130913151
Gangplank,0.9343012756750539
Akali,0.9324573050944773
Yorick,0.9274950450289662
ChoGath,0.9177325596634124
Gragas,0.9155146080315539
Vladimir,0.914900384370058
Jayce,0.9063197808971312
Rumble,0.9057445024667371
Poppy,0.8962657021199166
Malphite,0.8910216565016185
Teemo,0.8903379785128545
Darius,0.8896700182950318
Cassiopeia,0.887003444441024
Nasus,0.8840348149850743
Trundle,0.8832446129668852
Aatrox,0.8820610403843644
Renekton,0.8816129421876981
Smolder,0.879174847465446
Sion,0.8743462794302935
Ornn,0.8735631478287545
Zaahen,0.871988012804976
Zac,0.8702369268222926
Sett,0.8675877543107429
Riven,0.8673679456650268
Kled,0.8663924003099371
Mordekaiser,0.8620738677169859
Gwen,0.8589139077020653
Warwick,0.849435211074352
Volibear,0.8418766505556965
Shen,0.8416231686198211
Ambessa,0.8328564890287468
Olaf,0.8315659681405758
DrMundo,0.8274776800465466
Kayle,0.8204392866394905
Fiora,0.8131457168433733
Rengar,0.8099057155753189
Kennen,0.8086128328323312
KSante,0.808220212031155
Garen,0.8069466835944967
Illaoi,0.7959454368374352
Aurora,0.78266209133036
Heimerdinger,0.7731697076288536
Tryndamere,0.7709061647678539
Yone,0.7674977063859336
Yasuo,0.7630186018663879
Maokai,0.7585531721607235
Udyr,0.6860251961965312
Karma,0.6729088324474976
Vayne,0.6550449620406134
