partner,score
Sylas,1.100171710964798
Galio,1.0491445927032566
Vladimir,1.039160407292292
Ryze,1.0337418090102382
Warwick,1.0039769242600234
Viktor,0.9904165558871415
Renekton,0.9903664117668207
ChoGath,0.9881180947222697
Aatrox,0.9768106426893897
Illaoi,0.9764143359157513
Kennen,0.974640970197574
Sion,0.9705133232729981
Akali,0.9682109941804806
Pantheon,0.9668517462723129
Yasuo,0.9655477769554545
Malphite,0.9644179232381848
Maokai,0.9644143389982917
Cassiopeia,0.9628981368085541
Gangplank,0.959797548566926
Ambessa,0.9593238635795264
Gnar,0.9590766351566865
Rengar,0.9568275166616781
Poppy,0.9559508332662742
Urgot,0.9501527060563799
Camille,0.9483634235523037
Swain,0.9457645499711742
Mordekaiser,0.9442681644667116
Darius,0.9440840639086395
Gragas,0.9424955956146339
Yorick,0.9386124572643708
Udyr,0.9379112900074901
Rumble,0.9378074885225332
Jax,0.9377791390466983
Riven,0.9347823881422275
Varus,0.9324418457909375
Quinn,0.9319569412916694
Fiora,0.9313367819712245
Jayce,0.9303813169587368
Tryndamere,0.9299613160798936
Wukong,0.9289749788697792
Karma,0.9257475032845806
Vayne,0.9224847945556007
Kled,0.9182925866025079
Gwen,0.918058963168827
Irelia,0.9174538285881618
KSante,0.9148499927967562
Garen,0.9134761075097908
Heimerdinger,0.9111755290638152
Shen,0.9048105060490188
DrMundo,0.9010264863637211
TahmKench,0.8978800482490985
Sett,0.8976121914034527
Zaahen,0.8971127448548929
Nasus,0.8965405527608684
Ornn,0.8949672559683867
Smolder,0.8945451685125727
Olaf,0.893650567185155
Yone,0.890814903424637
Teemo,0.8858309928774285
Singed,0.8832446129668852
Kayle,0.8733830347554576
Zac,0.8497712025966145
Aurora,0.8360019274899506
Volibear,0.8139880363442027
