partner,score
Sett,1.0412361186555426
Pantheon,1.0167212425221388
Garen,1.001280806722768
Renekton,0.9997340098418369
Gragas,0.9940198469293613
Galio,0.9876156833557875
Fiora,0.985905292763912
Zaahen,0.9781691834192194
Poppy,0.9734790982334858
Illaoi,0.964492884320223
Warwick,0.9615849698639648
Singed,0.9610158176523832
Shen,0.9600591120015985
KSante,0.9471016605728321
Camille,0.945865780272221
Malphite,0.9397118543042406
Vladimir,0.9390923781863239
Maokai,0.9383870782521622
Trundle,0.9324418457909375
Urgot,0.9323196532991058
Darius,0.9278669578018357
Heimerdinger,0.924657905434806
Ambessa,0.923927357855615
Tryndamere,0.9201465776142252
Sylas,0.9194957646082225
Jax,0.919040155219645
Kled,0.9184716880822912
Wukong,0.9184683916294142
Aatrox,0.9141073549796502
ChoGath,0.9074474250736997
Olaf,0.9071113845802015
Nasus,0.906237356058069
Akali,0.9061051399176147
Gnar,0.9057500214631379
Vayne,0.897436458776939
Jayce,0.8938508872159536
Volibear,0.891886801170554
Gangplank,0.8815289048854421
Ryze,0.8688946644423727
Sion,0.8676790734817171
Rumble,0.8641515601244231
Irelia,0.863855116007356
Kennen,0.8581566298176442
TahmKench,0.8552700563291604
Yasuo,0.8507438372154899
Riven,0.8507331375438056
Quinn,0.8438946161085273
Ornn,0.83561433678663
Swain,0.8288707775288195
Zac,0.8266739664073571
Rengar,0.8234606441177463
Cassiopeia,0.8150263354673625
Aurora,0.8147825959674813
DrMundo,0.8073254245674772
Teemo,0.8046569731190372
Gwen,0.8033978196097927
Yorick,0.7980709970563038
Kayle,0.7883341592748959
Yone,0.7773681038387844
Smolder,0.7733708604942174
Mordekaiser,0.768711325013536
Karma,0.7573948421528086
Viktor,0.7531738529457725
Udyr,0.7523406853522042
