partner,score
Sett,0.9306200285543988
Sylas,0.9299684029654123
Gnar,0.9224333601668855
Smolder,0.9203922982464889
Tryndamere,0.9123736038909738
Yone,0.9004441047126188
Kled,0.8807771238627551
Ambessa,0.8794794234108201
Volibear,0.8794466755569104
Galio,0.8716214612405098
Ornn,0.8713236268843725
Gragas,0.8703873792749133
Ryze,0.8666546951645907
Aurora,0.8655809800380585
Trundle,0.8654113298607731
ChoGath,0.862908745937205
Kayle,0.8614402056600494
Jayce,0.8604020660475231
Karma,0.8565942623469418
Akali,0.8512170542231633
Vladimir,0.8490704453000418
Vayne,0.8439634926759161
TahmKench,0.8433907183072111
Olaf,0.8300172591370598
Aatrox,0.8291843269853687
Viktor,0.8273628925043068
Irelia,0.8244948860727865
Pantheon,0.8204549016907781
DrMundo,0.8199261771522374
Riven,0.8166681421757107
Cassiopeia,0.8115731779973895
Quinn,0.8091408781295397
Wukong,0.8079162008247935
Yorick,0.8019976612060399
Darius,0.8001718100990824
Rumble,0.7991144219018889
Camille,0.7904910976728925
Kennen,0.7866717812248916
Teemo,0.7833648864082432
Sion,0.7812862449298036
Zac,0.7683206820889423
Mordekaiser,0.7663700273860103
Yasuo,0.7625839605109843
Shen,0.7613159520171049
Varus,0.7512337744534829
Udyr,0.7485209858289323
Gwen,0.744144906494002
KSante,0.7439759060041868
Fiora,0.7318628232153597
Warwick,0.7281548134572655
Rengar,0.7221175372728095
Nasus,0.7211605280482646
Maokai,0.7179770698005916
Garen,0.7072148493656885
Jax,0.698400021209894
Urgot,0.6956393977129145
Malphite,0.6858792992339479
Heimerdinger,0.6857387187010877
Illaoi,0.6672833453699895
Gangplank,0.6617158160570302
Swain,0.6491855018288135
Singed,0.6332303507047115
Renekton,0.6045241331804111
