partner,score
Aatrox,1.0268999329018154
Kled,1.0261140542223095
Shen,1.022660517892599
Illaoi,1.0196384189197838
Darius,1.0126578669439101
Gwen,1.0101010005142348
Galio,1.0065880898621824
Renekton,0.9981821878768535
Garen,0.9977020035665142
Singed,0.9969796358837925
Poppy,0.98310879464697
Camille,0.9751178760076414
KSante,0.9653302871528866
Zaahen,0.9466726308505031
Jax,0.9438882808917824
Gragas,0.9415373995473172
Yasuo,0.9325662568421192
Trundle,0.9319569412916694
Pantheon,0.9241006073674439
Volibear,0.924080220409593
Warwick,0.9218555292577904
Sylas,0.91973761055398
Gangplank,0.9169577148582679
Akali,0.9162541163708301
Heimerdinger,0.9097405046215487
Tryndamere,0.9087845837217371
Karma,0.9043658168386016
Vayne,0.9039958304888974
Vladimir,0.8978366841087095
Fiora,0.8957652826423641
Ambessa,0.8939063413441767
Ryze,0.8933355292050944
Swain,0.8916666364117581
TahmKench,0.8915641707524453
Sett,0.8900588820236845
Mordekaiser,0.8870137823596734
Udyr,0.8830110075285698
Olaf,0.8828970713339307
ChoGath,0.8806831031276426
Zac,0.8793975153130082
Rumble,0.8789748432555903
Viktor,0.8690897352291422
Yone,0.8664091279214002
Ornn,0.854365440620426
Nasus,0.8508195538003507
Cassiopeia,0.8499273632400351
Wukong,0.8496142479019279
Malphite,0.8464769866827943
Varus,0.8438946161085273
Urgot,0.8436831638624788
Gnar,0.83895846527621
Teemo,0.82929996820258
Irelia,0.8233664839657887
Riven,0.8198482527589535
Sion,0.8145644888977107
Maokai,0.8134241958194354
Aurora,0.8119503988283288
Rengar,0.8030800417183142
Yorick,0.799082324654686
Smolder,0.793863654261299
Kayle,0.7877490539846977
Jayce,0.787358234293634
DrMundo,0.77719076779996
Kennen,0.7605070846974159
