partner,score
Sylas,1.101913104891978
Ryze,1.069911413761852
Galio,1.0606349380418305
Swain,1.0361460477922557
Viktor,1.024782188278854
Camille,1.0183511751848329
Mordekaiser,1.0149763145580908
Aatrox,1.0132857328646803
Akali,1.013268322500042
Gnar,1.0110641596044099
Gwen,1.01094220495473
Kayle,1.0095699090591939
Gragas,1.0022409531621423
Darius,1.0017681142595434
Nasus,1.0014362212340515
Varus,0.9997340098418369
Quinn,0.9981821878768535
Olaf,0.9981796626972482
Aurora,0.9975696850311221
DrMundo,0.9954685249325474
Jayce,0.9941862436205623
Yorick,0.9939841739770208
Vladimir,0.9923101609703963
Trundle,0.9903664117668207
Ambessa,0.9899493755385627
Vayne,0.9881762779300359
Smolder,0.9835218879877877
Yone,0.9737062106529645
ChoGath,0.9699540587752185
Ornn,0.9694033121584258
Garen,0.9661649561874953
Teemo,0.9648499138345388
Irelia,0.9570214874739064
Tryndamere,0.9513241387680447
TahmKench,0.948554138533513
Zac,0.9439304084310812
Wukong,0.9400357357459833
Udyr,0.9390454495350735
Rumble,0.9380177226096238
Sion,0.9362651420156719
Sett,0.93303824656815
Zaahen,0.9312254137167314
Urgot,0.9278823007998109
Kled,0.9266423140147848
Malphite,0.9253715492347451
Gangplank,0.9229263368886637
Illaoi,0.9219046669433082
Cassiopeia,0.9135466497766376
Rengar,0.9131268610917648
Kennen,0.9085941784875006
Yasuo,0.9080004970140808
Fiora,0.9079259797759561
Pantheon,0.8989363627988197
Riven,0.8908959760780072
Singed,0.8816129421876981
Shen,0.8752534047914277
Heimerdinger,0.8724214693235222
Poppy,0.8704309099316074
Maokai,0.868031694695199
Volibear,0.8641190226891473
Karma,0.831856519547291
Warwick,0.8272430196699153
KSante,0.8130992734226699
Jax,0.7966502151292522
