partner,score
Volibear,0.9549386461985377
Kled,0.9486846918013034
Darius,0.9231493404093848
Ambessa,0.9216392931552987
Vayne,0.8843723610615111
Mordekaiser,0.8780377412330216
Singed,0.8729401442225836
Gwen,0.8542835867021008
Gragas,0.8465882248770835
Kayle,0.8436852825594561
Gnar,0.8435260883970979
Zac,0.8431722147476688
Illaoi,0.8423931929988602
Pantheon,0.8414508960183062
Sylas,0.838405329067571
Warwick,0.8368478735973666
Yone,0.8355416300144625
Ornn,0.8323615346941536
Camille,0.827470602791131
Renekton,0.8239619529339341
Urgot,0.823800089468237
Akali,0.8223175827256272
Tryndamere,0.8206511969482154
Cassiopeia,0.8201895992063012
Galio,0.8167634065345917
Wukong,0.814838714455799
Trundle,0.8144427634171518
Fiora,0.8079818751894988
Udyr,0.805636071621572
Aurora,0.8039681265146628
Sett,0.8034525073113107
Maokai,0.8002733617807041
Smolder,0.7996895989645125
Riven,0.7930501217335972
Aatrox,0.7882599423165593
KSante,0.7851716361296268
Yorick,0.7806615837318923
Heimerdinger,0.7739227143376832
DrMundo,0.7679504290073694
Rumble,0.7673760595735739
Garen,0.7667901614992008
Olaf,0.766229087829396
Shen,0.7656057551579498
Malphite,0.7597138673053063
Teemo,0.7562017629078017
TahmKench,0.7490889449963777
Ryze,0.747123820570218
Jayce,0.7433957010963108
Vladimir,0.7353756941485596
Jax,0.7351224024158587
Kennen,0.7331442684835048
Swain,0.7280191356430533
Varus,0.72776949638486
Poppy,0.7221175372728095
Viktor,0.7171074182946275
ChoGath,0.7124815750172551
Karma,0.6895120481669377
Yasuo,0.6695101968041884
Nasus,0.6551188672433234
Irelia,0.6535253942593147
Quinn,0.6440408311209752
Gangplank,0.6272237898121069
Sion,0.6165941499038732
