partner,score
Nasus,0.9994390338956621
Ryze,0.9594261500960416
Galio,0.9555612664639713
Shen,0.9507473729058948
Akali,0.9470483638226275
Sion,0.9419313046253451
Gangplank,0.9418354762815552
Camille,0.940847390324505
Yorick,0.940449742223932
ChoGath,0.9393779836618504
DrMundo,0.9377274171344557
Vladimir,0.9354545467033216
Trundle,0.9347823881422275
Aatrox,0.932467533619225
Swain,0.9251932895589167
Garen,0.9188476219131877
Rumble,0.9118781423462727
Ornn,0.9048330338837807
Zaahen,0.9032702382549659
Viktor,0.8967668778725207
Malphite,0.8945679792251412
Renekton,0.8908959760780072
Gnar,0.8883089406346854
Mordekaiser,0.8870699332295355
Illaoi,0.8796481805316375
Sett,0.8772382604681598
Gwen,0.8759697264534373
Gragas,0.8733093198199381
TahmKench,0.8726584105586099
Kayle,0.8714284447438106
Singed,0.8673679456650268
Cassiopeia,0.8668707502871033
Olaf,0.8660293446160017
Kled,0.8649591256451697
Smolder,0.8624687044750589
Pantheon,0.8621867658005956
Darius,0.8545216976298301
Varus,0.8507331375438056
Ambessa,0.8450066969826818
Sylas,0.8420544256058798
Vayne,0.8399191755281358
Jayce,0.8389694891140974
Heimerdinger,0.8351256526005653
Fiora,0.8330324405780645
Maokai,0.829013020564812
Teemo,0.8273628797985692
KSante,0.8245865192710596
Wukong,0.8233426834374168
Warwick,0.8211754412580102
Quinn,0.8198482527589535
Yone,0.8183897503202208
Volibear,0.8148146308823856
Tryndamere,0.8083657235438092
Poppy,0.8013523231318689
Udyr,0.7990990041534821
Karma,0.7899545490540293
Zac,0.7883116389254488
Jax,0.784059187712168
Kennen,0.7732328288341112
Urgot,0.7655134416459505
Aurora,0.763882086449268
Yasuo,0.7426174033026832
Irelia,0.7282564791290094
Rengar,0.7069226967577996
