partner,score
Camille,0.8876877994470632
Kled,0.8429858512620888
Tryndamere,0.8399528890250729
Renekton,0.8238626269394449
Galio,0.8238394979096045
Volibear,0.8019068008844918
Poppy,0.7991144219018889
Wukong,0.7854442925326649
Vayne,0.7843719885823951
Irelia,0.7819512509500078
Rengar,0.7673760595735739
Udyr,0.7607981182825341
Riven,0.7562648239826022
Darius,0.7552583004354161
Zac,0.7480379378015659
Gnar,0.7381735692131544
Fiora,0.7345575785876681
Illaoi,0.7345283613526619
Malphite,0.7326970666848787
Shen,0.7324114566674573
Pantheon,0.7315031263013623
Ambessa,0.7285768937340467
Garen,0.7260398715093801
Maokai,0.7237723466706458
Gwen,0.7219958082213733
Sylas,0.7180735761925333
Yone,0.7086096146338696
Olaf,0.7017896421041934
KSante,0.7013158159085215
Jax,0.6898697896244047
Nasus,0.6848884508374784
Sett,0.684748774930656
Gragas,0.6783369763065942
Akali,0.6777613673084619
Trundle,0.6772099546775066
Kennen,0.6616067274281164
Urgot,0.6587998912237361
Smolder,0.6579227685771185
Warwick,0.6577311764910917
Ornn,0.655645222986761
Cassiopeia,0.6503440741987443
Yasuo,0.6495100832076098
Singed,0.6465513838040617
Kayle,0.6414642223257165
Jayce,0.6376487837358366
Teemo,0.6336092925474279
DrMundo,0.6326945042499924
Aurora,0.6326321150371621
Swain,0.6174710230794337
ChoGath,0.6150236419886481
Yorick,0.6135578362528773
Karma,0.6032169528852183
Heimerdinger,0.5892619035203626
Aatrox,0.5868563800952403
Quinn,0.578564471349179
Viktor,0.5437860011853467
Mordekaiser,0.5394588173435947
Sion,0.526258930233408
Vladimir,0.5247637925772334
Varus,0.5206389056400047
Ryze,0.5196018128430122
Gangplank,0.5112237534083321
TahmKench,0.5032638495974808
