partner,score
Volibear,0.9827707580404098
Tryndamere,0.9727585847345119
Wukong,0.9311810296878031
Camille,0.9176440082632511
Kled,0.914970927610701
Zac,0.8956271004974956
Irelia,0.8953338842644647
Renekton,0.877478217738649
Udyr,0.8677929815431822
Poppy,0.8666546951645907
Riven,0.8614272525661487
Shen,0.8613236633744927
Galio,0.8612696694681287
Fiora,0.8596786863381908
Gwen,0.8596065454617711
Warwick,0.8588785830684076
Sett,0.85474848188528
Ambessa,0.8543567796527674
Darius,0.8496692810435669
Garen,0.84640532719886
Illaoi,0.83838087274851
Malphite,0.8361198673658427
Pantheon,0.8324592800133306
Yone,0.8208950819751561
Olaf,0.815204741145402
Sylas,0.8048183706309979
Jax,0.8037575536219405
Maokai,0.7905751471966741
Trundle,0.7832979018519919
Vayne,0.777813169002242
KSante,0.7763173489026709
Singed,0.7707891734620975
Gnar,0.7624821811023921
Ornn,0.7541718172897345
Gragas,0.7536336441097106
Rengar,0.747123820570218
Yasuo,0.7435970131100107
Aatrox,0.740943405853995
Yorick,0.7394601791404507
Akali,0.7328921315840345
Kennen,0.7199981086448975
Urgot,0.7176856903168229
Mordekaiser,0.7126109926555915
Nasus,0.7006141296179428
Kayle,0.6978030096891021
ChoGath,0.6974730720014517
Varus,0.6972623927180028
Cassiopeia,0.6944601271720345
Jayce,0.6928867801305634
Smolder,0.6871306088792792
Karma,0.6862300927958881
Gangplank,0.6829643908152325
Sion,0.6618319995309903
Teemo,0.6518295248299077
TahmKench,0.6309272935738497
Aurora,0.6267954860910416
Swain,0.6091921391890721
DrMundo,0.6033760171459688
Heimerdinger,0.5839921443414022
Viktor,0.5668870598995076
Quinn,0.5477245836153495
Vladimir,0.5262920856541686
Rumble,0.5196018128430122
