partner,score
Kled,0.9432764689117265
Sylas,0.9356385127765755
Poppy,0.9306200285543988
Gragas,0.9034224065737133
Aurora,0.8976735124703649
Galio,0.8874157673424662
DrMundo,0.8838130753908733
Ornn,0.8837804587653479
Urgot,0.8789630368013684
Cassiopeia,0.8602170943862433
Malphite,0.8550341575522129
Ryze,0.85474848188528
Akali,0.8532645381710409
Jayce,0.8516098988318027
Ambessa,0.8397334287061269
KSante,0.8223760240853912
Nasus,0.816468767768938
Heimerdinger,0.8107057617967826
Illaoi,0.8065417136139594
Pantheon,0.8049083734394196
Rengar,0.8034525073113107
Gnar,0.8006476975401147
Garen,0.7952023901610867
Camille,0.791703619561142
Kennen,0.781222600384263
Viktor,0.7720530605194871
Vladimir,0.7699633153686125
ChoGath,0.7637211251177423
Karma,0.7634812197723495
Sion,0.7606238549512074
Zac,0.7592529287611584
Shen,0.7564318125434197
Singed,0.7536776734901959
Yorick,0.753302136214766
Aatrox,0.7532682678560232
Fiora,0.747864589307702
Renekton,0.7431090459122975
Swain,0.7304688248174409
Vayne,0.7279010167290022
Varus,0.7184596983261209
Maokai,0.7183644448081117
Yasuo,0.7146054863381215
Olaf,0.7108843862985623
Irelia,0.7063332440044632
Darius,0.703587599216593
Udyr,0.7024717230941687
Gwen,0.6983342119183457
Tryndamere,0.6876062850920196
Warwick,0.6863188077388571
Yone,0.6862532573329934
Quinn,0.6858601796619037
TahmKench,0.6849947546795154
Rumble,0.684748774930656
Teemo,0.6680085585777413
Kayle,0.6636092653001244
Smolder,0.6635235830970336
Gangplank,0.6525035102066079
Riven,0.6521731342139732
Jax,0.6514523460643848
Mordekaiser,0.6454493357902577
Volibear,0.6399595889086312
Wukong,0.6213865536552688
Trundle,0.5192043234154413
