partner,score
Kennen,0.9139025964963217
Vayne,0.8964441191468213
Viktor,0.8928619541266969
Gragas,0.8858623039749713
Pantheon,0.8729194308513846
Tryndamere,0.8686681334091975
Jayce,0.86605797183732
Ambessa,0.862038335072044
Ryze,0.8613236633744927
Sylas,0.8567548298697398
Heimerdinger,0.854290214213058
Cassiopeia,0.8475339766723636
Aurora,0.8458566775601339
Ornn,0.8363865569388992
Gnar,0.8349294513297139
Volibear,0.8264764838583751
Varus,0.8164978614335716
Kled,0.8115500617894289
Riven,0.8106210027477652
Akali,0.8096247097949614
Yone,0.807976503698142
Kayle,0.8042369632661184
Wukong,0.8035115229364818
Malphite,0.8014061607652054
Urgot,0.7969358774148926
Quinn,0.7950534115940908
Galio,0.7834964133861424
Olaf,0.7802588788213602
Darius,0.7798955955935969
Vladimir,0.7779256794727838
Jax,0.7755732144531529
Nasus,0.7754063590765474
Renekton,0.7686267350267746
Rengar,0.7656057551579498
Teemo,0.7635870592911674
Trundle,0.7628313425931783
Udyr,0.7617491935771116
Poppy,0.7613159520171049
Camille,0.7595739284367129
Illaoi,0.7583054948614851
Sett,0.7564318125434197
Karma,0.7542822074091435
Fiora,0.748660902887785
DrMundo,0.7425300198437562
Smolder,0.7423744486735899
Yorick,0.742099772745695
Warwick,0.7379933667199127
KSante,0.7356514775896362
Rumble,0.7324114566674573
Singed,0.720509655874754
Yasuo,0.7183495659717816
Irelia,0.7114338265926207
Aatrox,0.7061573852254424
Zac,0.6945418492766855
Garen,0.6942921603159764
Mordekaiser,0.6859977701092101
Gangplank,0.6729996717375024
Gwen,0.6726540003902273
ChoGath,0.6698463919053044
TahmKench,0.6498913439769456
Sion,0.6330307042968877
Maokai,0.6290828556894662
Swain,0.6142985337156804
