partner,score
Sylas,0.9011997715049755
Galio,0.8963687072541764
Aurora,0.8821041191686554
Rengar,0.8729401442225836
Gnar,0.8513583240519361
Jayce,0.843380953242538
Nasus,0.8068443405164344
Gragas,0.7985042731643082
Ornn,0.794892606723024
Maokai,0.791336808694947
Vladimir,0.7913077571288384
Akali,0.785357932823825
Kled,0.77668111067458
Olaf,0.775135189612338
Malphite,0.7744556781891824
Quinn,0.7719456157824055
Ryze,0.7707891734620975
DrMundo,0.7666344470351032
TahmKench,0.7664945678779187
Camille,0.7556496178738381
Illaoi,0.7554274068246611
Sett,0.7536776734901959
Tryndamere,0.7496274717295948
ChoGath,0.7465208235415957
Yorick,0.7371656798052497
Ambessa,0.7359926867206515
Teemo,0.7359092955379478
Volibear,0.7335504452961052
Irelia,0.7330781326677848
Cassiopeia,0.7309510731124694
Sion,0.7224631034829015
Shen,0.720509655874754
Karma,0.7204576121670083
Smolder,0.7199632860496361
Renekton,0.7190659031314447
Aatrox,0.7151694041845531
Viktor,0.7117190964353926
Wukong,0.6880362304729921
Urgot,0.6862073247951278
Kennen,0.6828900020994721
Yasuo,0.680720000049237
Heimerdinger,0.6706444839898638
Pantheon,0.668102104047442
Gangplank,0.6641216678275645
Vayne,0.6638934904064318
Trundle,0.6609171003411106
Zac,0.6534640579656069
Yone,0.6511970201949796
Riven,0.6497634945513737
Rumble,0.6465513838040617
Varus,0.6409827126113086
Poppy,0.6332303507047115
KSante,0.623694691194633
Warwick,0.6193415741675076
Kayle,0.6125489911677416
Darius,0.604361973600883
Mordekaiser,0.5870693087935445
Gwen,0.581476257328088
Udyr,0.5679076276392898
Garen,0.5539280478992823
Fiora,0.5522294927688779
Jax,0.5508918500639524
Swain,0.506716248099677
