partner,score
Gnar,0.9258985660051238
Riven,0.9185759617970248
Vayne,0.898135376911577
Volibear,0.8893646687700539
Camille,0.8719116678768285
Tryndamere,0.8710494096001511
Darius,0.864723172975555
Kled,0.8611662472616548
Renekton,0.8557515504048796
Pantheon,0.8511643022572639
Kennen,0.8310685623948602
Yone,0.8068970338137263
Illaoi,0.80608167201657
Udyr,0.79961957110503
Ambessa,0.7978012746419516
Wukong,0.7933033443540644
Jayce,0.7840131797403613
Poppy,0.7812862449298036
Jax,0.7773666587404313
Malphite,0.7746716885245637
Gwen,0.7725837635042312
Cassiopeia,0.7704287767020794
Akali,0.7654520098274806
Sett,0.7606238549512074
Teemo,0.7591924357440044
Warwick,0.7581297003634988
Kayle,0.7536444636572164
Garen,0.751488637957201
Varus,0.7510875887334514
Aurora,0.7404028260799412
Zac,0.7403422736655436
Fiora,0.7394161681577485
Galio,0.727292157014025
Trundle,0.7234243714495301
Singed,0.7224631034829015
Gragas,0.7092147117416355
Heimerdinger,0.7087075388705992
Viktor,0.696453565789326
Urgot,0.6940761936126683
Sylas,0.6888624008764666
Vladimir,0.6669658934815629
Nasus,0.6669375645327061
KSante,0.6620512534994906
Ryze,0.6618319995309903
Yasuo,0.6509616372238549
Olaf,0.6509526654826102
Maokai,0.64901203907063
Aatrox,0.6487641632355801
Ornn,0.6445447156544352
Smolder,0.6436038474749862
Karma,0.637686174364261
Shen,0.6330307042968877
Irelia,0.6293125335211847
DrMundo,0.6166528132279486
Rengar,0.6165941499038732
Yorick,0.6120698334772681
Quinn,0.599689885974429
Swain,0.5978600725948864
Mordekaiser,0.5598776771794256
Gangplank,0.5588180500052091
Rumble,0.526258930233408
TahmKench,0.482545021353179
ChoGath,0.482160197065169
