partner,score
Kled,0.9676812126952573
Malphite,0.9238474092839768
Poppy,0.9203922982464889
Sylas,0.8905813352756669
Urgot,0.8630936637255573
Zac,0.8595198443961157
Pantheon,0.8564733730247365
Gragas,0.8550638385769601
Renekton,0.8460639775234943
Illaoi,0.8408304472404524
Tryndamere,0.8350858402472107
Galio,0.8316163055866722
Ambessa,0.8277714705706087
Volibear,0.8223128909590854
Camille,0.8159086565073557
Warwick,0.8074378095095829
Akali,0.8063324632817376
Jayce,0.801101161508841
Rengar,0.7996895989645125
Garen,0.799063930766712
KSante,0.7983301983576077
Darius,0.7950588225869173
Udyr,0.7850074526910268
Wukong,0.7844530503200482
Nasus,0.7733287865613603
Gnar,0.7672885777793124
Cassiopeia,0.7642887510685737
Riven,0.7615703340059601
Ornn,0.755964956222618
Aurora,0.750843568132971
Irelia,0.7506715462787317
Vladimir,0.7493689710075752
Olaf,0.7426589490411459
Shen,0.7423744486735899
Heimerdinger,0.738547628728601
Yasuo,0.728843847235938
Kennen,0.7267804107302877
Yorick,0.723251940936569
Gangplank,0.7203451262613287
Singed,0.7199632860496361
Jax,0.7193931853751575
Fiora,0.7018138686326294
Teemo,0.6939640621515426
Ryze,0.6871306088792792
Gwen,0.6776907296092974
DrMundo,0.6772152941991847
ChoGath,0.6724516520922961
Yone,0.665924920438931
Sett,0.6635235830970336
Rumble,0.6579227685771185
Karma,0.6492098754394605
Aatrox,0.6450768110710767
Sion,0.6436038474749862
Varus,0.6420062247231575
Vayne,0.6365915205427893
Maokai,0.6313629602091467
Mordekaiser,0.6308655276001975
Quinn,0.6275663229170272
TahmKench,0.6210688497750767
Viktor,0.60981541048415
Swain,0.5840702196435421
Trundle,0.5602735320041236
Kayle,0.46868669329978824
