partner,score
Tryndamere,0.9141551575865279
Volibear,0.8503282493615709
Sylas,0.8286857519146502
Yasuo,0.826453439748123
Kled,0.8233767451709522
Riven,0.816562482496218
Ambessa,0.8136082642336175
Ornn,0.8073854064597582
Pantheon,0.8029656980480877
Gragas,0.8014543855560303
Akali,0.7885095384786254
Jayce,0.7735896024062577
Wukong,0.7616667317984568
Irelia,0.758978147717674
Renekton,0.7568401392326527
Olaf,0.7458005301218773
Galio,0.7373368848408757
Sett,0.7304688248174409
Malphite,0.729522982506906
Rengar,0.7280191356430533
Zac,0.7199354098646552
Gnar,0.7198507785442317
Urgot,0.7198010770308512
Yorick,0.7176301031013292
Warwick,0.7157050118637942
Camille,0.7131489588767468
Aurora,0.7104079420735898
Nasus,0.693594832171796
Karma,0.6930244218786019
KSante,0.686243706691677
Illaoi,0.6833964568975737
Udyr,0.6798537947907368
Varus,0.6760315832938371
Fiora,0.6752868677725995
Cassiopeia,0.6735945248826061
Heimerdinger,0.6717157226790682
Gwen,0.6635716285103936
Darius,0.6609453143337694
Jax,0.6593777469091089
Yone,0.6545603907154054
Kennen,0.6511248598908825
Vayne,0.6504916747204992
Poppy,0.6491855018288135
Viktor,0.6443086411234737
Vladimir,0.6375157958307636
Teemo,0.634997146802633
Kayle,0.6347361700228101
Garen,0.6313962388211045
Trundle,0.6231795790545309
Maokai,0.6195919479834046
Rumble,0.6174710230794337
Shen,0.6142985337156804
TahmKench,0.6129461179855428
Ryze,0.6091921391890721
Sion,0.5978600725948864
Smolder,0.5840702196435421
ChoGath,0.5837462913613545
DrMundo,0.5716782251079178
Aatrox,0.5713191011715298
Quinn,0.5628402528483754
Gangplank,0.5622688917739611
Singed,0.506716248099677
Mordekaiser,0.4709748191943913
