partner,score
Darius,1.0660557142727924
Camille,1.0397812921362282
Gnar,1.0085622727518533
Volibear,1.0073221073275724
Kayle,0.9831015534330092
Tryndamere,0.975415991692406
Wukong,0.9751708291223533
Vayne,0.966506514760745
Illaoi,0.9657979238110642
Kled,0.9655315827975349
Renekton,0.9459555662448514
Trundle,0.9459162763432403
Sett,0.9356385127765755
Pantheon,0.9345211626903013
Poppy,0.9299684029654123
Ambessa,0.9230085303903823
Kennen,0.9080134643289586
Riven,0.9018161617794738
Singed,0.9011997715049755
Garen,0.8964548880831187
Aurora,0.8964441416713325
Fiora,0.8924146882637163
Smolder,0.8905813352756669
Malphite,0.8901392806916903
Varus,0.8877348006088692
Warwick,0.8737373279188988
Udyr,0.8718510923264862
Yone,0.8692230145242248
Jayce,0.8641488266581805
Gwen,0.8621272693722102
Akali,0.8568921572767015
Shen,0.8567548298697398
Jax,0.8545238628255818
Quinn,0.8452628702211307
KSante,0.844503533451078
Teemo,0.8428484022811829
Maokai,0.8426779325928075
Ornn,0.8394157274774103
Urgot,0.83927355700776
Rengar,0.838405329067571
Swain,0.8286857519146502
Gragas,0.8230585055439823
Cassiopeia,0.8202947051435077
Ryze,0.8048183706309979
Mordekaiser,0.8037876000264355
Aatrox,0.7981416526662698
Nasus,0.796263499460775
Gangplank,0.7908228155488121
Vladimir,0.7907882452081096
Heimerdinger,0.7797446769889838
Olaf,0.7796621983965828
Zac,0.7744789903822658
Yorick,0.7548617193798648
Karma,0.7515725704365439
ChoGath,0.7464461406435903
DrMundo,0.7462014650459875
Irelia,0.7282483940582772
Rumble,0.7180735761925333
Viktor,0.7068633729221265
Sion,0.6888624008764666
Galio,0.6841059531845751
Yasuo,0.6800096116662838
TahmKench,0.6368265997014529
