partner,score
Garen,1.0090270906330612
Gnar,1.0046674006877412
Zaahen,0.9847039809987352
Kennen,0.9844336610752843
Kayle,0.9839458079068851
Galio,0.9824917739407641
Fiora,0.9799794315503404
Ambessa,0.9654280564876722
Gangplank,0.949670368685514
Warwick,0.9488252461774332
Renekton,0.948554138533513
Singed,0.9401292850321814
Swain,0.9380209607309217
Yasuo,0.9371122704981902
Camille,0.935401034390115
Tryndamere,0.9336168505907058
Vayne,0.9320447193357401
Aatrox,0.9313957150732535
Darius,0.9273646987597124
Jax,0.9243208392261556
Poppy,0.9220926630001477
Illaoi,0.9200669340434258
Sylas,0.9183104269549641
Vladimir,0.917506273900777
Yone,0.9109811996074093
Sett,0.9059603437036541
Ryze,0.9005235075172847
Smolder,0.8999088541412068
Trundle,0.8978800482490985
Shen,0.8964274077404598
Quinn,0.8915641707524453
Urgot,0.8879102647028544
Jayce,0.8873081569858874
Cassiopeia,0.8849574108551392
Pantheon,0.8787559098262961
Irelia,0.8776805556798216
Kled,0.8776659005965942
Volibear,0.873505615199175
Olaf,0.8731949826766588
Riven,0.8726584105586099
KSante,0.8636054182201479
Gwen,0.8627421332920034
Heimerdinger,0.8576290245754791
Varus,0.8552700563291604
Gragas,0.8508350928693306
Viktor,0.8387001922852567
Akali,0.83736596626491
Teemo,0.8346794378262049
Aurora,0.8307172431408582
Yorick,0.8255822070233425
Malphite,0.8214967992425918
Mordekaiser,0.8192922472777581
Rumble,0.8186398170412166
Karma,0.8179044737149457
Zac,0.8054761168559907
Udyr,0.7956754746348015
Wukong,0.7926661937716019
DrMundo,0.7782149325651555
ChoGath,0.7771269535415873
Nasus,0.7646843623563203
Ornn,0.7606746367852115
Maokai,0.7511398448175232
Sion,0.7273322964691803
Rengar,0.7079318958209745
