partner,score
Kled,0.9008254709482699
Ambessa,0.8947801503032198
Galio,0.8931771345813053
Yone,0.852400517406952
Sylas,0.8428484022811829
Zac,0.8303615271566731
Irelia,0.8288812033115223
Gwen,0.8263547421225205
KSante,0.819567931709902
Tryndamere,0.8167213423825872
Olaf,0.8134891110580504
Camille,0.8121182338579798
Ornn,0.8110979283350319
Garen,0.808874066970196
Riven,0.8080333460965177
Udyr,0.7979184197577476
Poppy,0.7833648864082432
Darius,0.7782888487911412
Yasuo,0.7765361407518576
Yorick,0.7729652683101954
Fiora,0.7638877450822452
Shen,0.7635870592911674
DrMundo,0.7612974242388334
Wukong,0.7600497007145992
Sion,0.7591924357440044
Gragas,0.7564437875594554
Rengar,0.7562017629078017
Viktor,0.7540517382596749
Kayle,0.749687497997242
Volibear,0.7443640533519185
ChoGath,0.743641199230902
Singed,0.7359092955379478
Mordekaiser,0.73206542093517
Akali,0.725643593687858
Renekton,0.7211260569642226
Pantheon,0.7207935601093243
Illaoi,0.7187137386581031
Gnar,0.7092808877630146
Aatrox,0.6995993016028352
Smolder,0.6939640621515426
Warwick,0.6839528272373483
Trundle,0.6825960369644406
Karma,0.6737684026225876
Maokai,0.6722246440806819
Cassiopeia,0.6718138167627286
Sett,0.6680085585777413
Urgot,0.6665694244684365
Jayce,0.6631945284028796
Varus,0.6623876721412805
Malphite,0.6618996919282005
Aurora,0.66083156463995
Ryze,0.6518295248299077
Jax,0.6411586126357711
Vayne,0.6384443285727446
TahmKench,0.6369903990879937
Swain,0.634997146802633
Rumble,0.6336092925474279
Nasus,0.6324782462838237
Heimerdinger,0.6121193496795962
Gangplank,0.5829820125005578
Quinn,0.5723953032591291
Kennen,0.5639172464338271
Vladimir,0.561523712425104
