partner,score
Sylas,0.9459162763432403
Galio,0.879250530987389
Aurora,0.8760417565494367
Gragas,0.8687203528309543
Poppy,0.8654113298607731
Akali,0.8636510741863224
Jayce,0.8563421784692671
Cassiopeia,0.85388175408732
Kled,0.8513234171130513
Gnar,0.840539632340056
Heimerdinger,0.8376806449245211
Ambessa,0.8309544969744733
Udyr,0.8169910515507623
Rengar,0.8144427634171518
Zac,0.795277526227714
Urgot,0.7930670498257234
Malphite,0.7892030024760783
Ryze,0.7832979018519919
Kennen,0.7745039679443948
Illaoi,0.7676300601164758
Riven,0.7673869461367911
Renekton,0.763264808214517
Shen,0.7628313425931783
Camille,0.7603215089688498
Warwick,0.7585351106909491
Tryndamere,0.7566897264033797
Yasuo,0.7539397003463919
Yorick,0.7525370181705423
Darius,0.7508177151545272
Volibear,0.7481451937527022
KSante,0.7429466366199801
Vladimir,0.7427917755075777
Pantheon,0.7403434462046108
DrMundo,0.7398716715479448
Varus,0.7352460204920945
Sion,0.7234243714495301
Nasus,0.7139198993263665
Gangplank,0.7081623709409941
Ornn,0.7069139026242509
Fiora,0.7032495789012445
Viktor,0.6983910117320996
Aatrox,0.6902722776066527
Teemo,0.6825960369644406
Irelia,0.6777379443356558
Rumble,0.6772099546775066
Garen,0.6735101214871287
Yone,0.6718262576354261
Vayne,0.667815347403444
Singed,0.6609171003411106
Karma,0.6471108193379146
ChoGath,0.6364139241503659
Maokai,0.6314634342780796
Olaf,0.6298132668604915
Wukong,0.625182951715227
Swain,0.6231795790545309
Quinn,0.61136011423115
Gwen,0.6097841554095069
Jax,0.6056404389954781
TahmKench,0.6037446424932564
Mordekaiser,0.56217154306622
Smolder,0.5602735320041236
Kayle,0.5323236308646443
Sett,0.5192043234154413
