partner,score
Galio,1.0621773877078418
Sylas,1.0351752354868133
Ryze,1.0093274887709882
Mordekaiser,1.0004791708006942
Yorick,1.0000331285584805
Nasus,0.9985050520436471
ChoGath,0.9957593220465928
Swain,0.9948308966120053
Gragas,0.9945732208568394
Ornn,0.992121941522165
Aatrox,0.9840949799113625
Shen,0.9729341225105468
Viktor,0.9701956681371533
Sion,0.9658228126951647
Akali,0.9646171326864322
Gangplank,0.9592747054831716
Garen,0.9576535329305365
Renekton,0.9513241387680447
Cassiopeia,0.9490532144094668
Camille,0.9458722237166521
Gwen,0.9451654525603873
Rumble,0.9427980397992616
TahmKench,0.9336168505907058
DrMundo,0.9321240290485124
Trundle,0.9299613160798936
Urgot,0.9283090982624138
Poppy,0.9278912126002716
Varus,0.9201465776142252
Zaahen,0.9185217814262765
Ambessa,0.9159086748211914
Quinn,0.9087845837217371
Yone,0.9065156479209181
Pantheon,0.9043042342493794
Kled,0.8997313895888087
Vladimir,0.8893767032686327
Illaoi,0.8882355203553118
Olaf,0.8858645388507517
Malphite,0.882557696766369
KSante,0.8807164784604125
Jax,0.8798766660602524
Smolder,0.8790503529523755
Darius,0.8750471787437241
Sett,0.8746556807748488
Wukong,0.8666761203320514
Irelia,0.8641572860495645
Jayce,0.8636216743647722
Gnar,0.8635764543415376
Teemo,0.8606097915926954
Zac,0.8576493942264114
Aurora,0.8566415734407863
Maokai,0.8456940180818282
Volibear,0.8434467346233393
Warwick,0.8384822530584369
Heimerdinger,0.8382438742549294
Karma,0.8136479198008603
Riven,0.8083657235438092
Yasuo,0.8037770971657704
Kennen,0.7998843920255068
Fiora,0.773058054308291
Singed,0.7709061647678539
Vayne,0.7706047752578334
Kayle,0.7625444903199317
Rengar,0.7605783490180311
Udyr,0.7410537293211824
