partner,score
Ornn,0.8963479406253675
Jayce,0.8959560819399822
Kled,0.8945625590404791
Quinn,0.8866480999007678
Nasus,0.8781724929609511
Sylas,0.8718510923264862
Ryze,0.8677929815431822
Galio,0.857106453638351
Gnar,0.8570323923835121
Gragas,0.8489459675083696
Pantheon,0.8475763531569889
Maokai,0.842108334708354
ChoGath,0.839633427397778
Yorick,0.8317039336905008
Aurora,0.8316890413772002
Malphite,0.8314389646888778
Viktor,0.827393492189973
Urgot,0.8261313058631943
DrMundo,0.8199351965909351
Camille,0.8183562556552828
Trundle,0.8169910515507623
TahmKench,0.8074423648997117
Rengar,0.805636071621572
Olaf,0.8047718537235591
Varus,0.7999243850821431
Sion,0.79961957110503
Teemo,0.7979184197577476
Ambessa,0.7913943035554718
Akali,0.7913551067232376
Karma,0.7899524312896407
Smolder,0.7850074526910268
Illaoi,0.7812249916208206
Wukong,0.7797165782674931
Vladimir,0.7790985116053453
Irelia,0.7757623963811092
Kennen,0.7709572757716207
Gangplank,0.7702755547540227
Shen,0.7617491935771116
Rumble,0.7607981182825341
Vayne,0.759069821520968
Tryndamere,0.7536901578282773
Poppy,0.7485209858289323
Aatrox,0.7459079458587121
Mordekaiser,0.740847487068027
Cassiopeia,0.740812882681831
Volibear,0.7280372051218891
Heimerdinger,0.7246625353629165
Warwick,0.7030509551349456
Sett,0.7024717230941687
Yasuo,0.6999535149364051
Darius,0.696310394914396
Garen,0.6886566462668906
Kayle,0.6841201066449274
Swain,0.6798537947907368
Yone,0.6793259755087577
Renekton,0.6786232310308794
KSante,0.6706628216052446
Zac,0.6490372559198179
Fiora,0.6486337642712547
Gwen,0.6274461732892334
Jax,0.6134372230123201
Riven,0.6104939243711154
Singed,0.5679076276392898
