partner,score
Yone,0.934073613753621
Riven,0.8992033108988189
Gwen,0.885146057828957
Sett,0.8789630368013684
Zac,0.8757011998540907
Camille,0.8695654314251091
Galio,0.8690845083198021
Volibear,0.8637034797907037
Smolder,0.8630936637255573
Tryndamere,0.8505347772356948
Ambessa,0.8502754953280418
Gnar,0.8448895276604096
Sylas,0.83927355700776
Udyr,0.8261313058631943
Darius,0.825592082622018
Rengar,0.823800089468237
Wukong,0.8215312357467095
Illaoi,0.8141275995104847
Kled,0.8077546734680315
Yorick,0.8034264788320139
DrMundo,0.8023133266193959
Jax,0.8020618511892847
Varus,0.8014477798635291
Shen,0.7969358774148926
Renekton,0.7948454746292506
Aatrox,0.7941611962329485
Trundle,0.7930670498257234
Akali,0.7913853390239883
Vayne,0.7874915988570793
Irelia,0.7806930335804461
Viktor,0.7782029286020304
Kayle,0.7689605595992886
Olaf,0.7612249329908003
Ornn,0.7587220209101108
Karma,0.7432545830693917
Nasus,0.7428190080102507
ChoGath,0.741373548537343
Warwick,0.7383669084554247
Maokai,0.7361381328651123
Vladimir,0.7329300596751274
Garen,0.7291754961687431
Malphite,0.7291143279872425
Pantheon,0.7225906040417247
Aurora,0.7225154763861843
Swain,0.7198010770308512
Kennen,0.7186610109199889
Ryze,0.7176856903168229
Cassiopeia,0.7149291771480482
TahmKench,0.71125581284202
Fiora,0.7093011879277906
KSante,0.7021838598477035
Poppy,0.6956393977129145
Sion,0.6940761936126683
Gragas,0.6870287859673393
Singed,0.6862073247951278
Yasuo,0.6779641686757913
Quinn,0.674405904817619
Jayce,0.6729718060521309
Teemo,0.6665694244684365
Gangplank,0.6633518757907395
Mordekaiser,0.6604174020858105
Rumble,0.6587998912237361
Heimerdinger,0.645310438153345
