partner,score
Kled,0.9414570215310178
Sylas,0.8877348006088692
Galio,0.8828084025641063
Ornn,0.8782034426133616
KSante,0.8500448249310535
Zac,0.8269123200928392
Malphite,0.821066311326299
DrMundo,0.820698195130568
Tryndamere,0.8188807849682042
Gragas,0.8180237268678725
Camille,0.8176982012788494
Shen,0.8164978614335716
Olaf,0.8162541344158692
ChoGath,0.8103627022742129
Urgot,0.8014477798635291
Udyr,0.7999243850821431
Maokai,0.7902655278694659
Garen,0.7849664435675313
Illaoi,0.7827680304076287
Nasus,0.7790442310393081
Ambessa,0.774334375803722
Renekton,0.7703699507270476
TahmKench,0.7617991227984167
Akali,0.759195008474135
Vladimir,0.7546657854621902
Poppy,0.7512337744534829
Sion,0.7510875887334514
Volibear,0.7510737256448773
Darius,0.7392655767221954
Trundle,0.7352460204920945
Aurora,0.7342720081359617
Rengar,0.72776949638486
Sett,0.7184596983261209
Pantheon,0.7083917135174276
Wukong,0.7063859814003988
Irelia,0.7014190853635234
Fiora,0.6995241141974338
Ryze,0.6972623927180028
Quinn,0.6946764014220482
Cassiopeia,0.6939734975924886
Aatrox,0.6938371273524075
Mordekaiser,0.6912150733726641
Riven,0.6845593271645445
Swain,0.6760315832938371
Gnar,0.6675733557385726
Teemo,0.6623876721412805
Jax,0.6548852851616976
Karma,0.6509009807048003
Gangplank,0.6496547154588533
Vayne,0.6452110268607935
Smolder,0.6420062247231575
Singed,0.6409827126113086
Yone,0.6405307438150634
Heimerdinger,0.6342560885454335
Yasuo,0.6326197120527299
Kennen,0.6313532671177305
Gwen,0.6301624349240156
Warwick,0.6172340333816125
Jayce,0.6095403657183489
Kayle,0.5829970702530551
Yorick,0.5672843758380086
Rumble,0.5206389056400047
Viktor,0.5152232906648377
