partner,score
Galio,1.0395805183666187
Sylas,1.017319894259805
Renekton,0.9881762779300359
Camille,0.9758386712965541
Zac,0.975730436970747
Pantheon,0.9715452803384265
Warwick,0.9714312793883134
Jax,0.966008844468666
Ryze,0.9625146898065672
Sion,0.9610869556588432
Poppy,0.9585851955946916
Gangplank,0.9576980469356665
Zaahen,0.9538858560525453
Nasus,0.9473951573981412
Vladimir,0.9463166776990526
Garen,0.9432172353221406
Akali,0.9412654437575617
Irelia,0.938051625666689
Shen,0.9351528541534436
Cassiopeia,0.9337168985653111
TahmKench,0.9320447193357401
ChoGath,0.9255474651406321
Gragas,0.9254734663019191
Darius,0.9232590379093945
Trundle,0.9224847945556007
Viktor,0.9194382724835758
Wukong,0.9188049691093706
Olaf,0.9178067491141743
Malphite,0.9174505794238142
Kled,0.9101351196731245
Sett,0.9077119337818074
Quinn,0.9039958304888974
Urgot,0.903461984009804
Ornn,0.901045783737591
KSante,0.898830457689864
Varus,0.897436458776939
Rumble,0.8922273934412461
Swain,0.8910677660727317
Aatrox,0.8852568524358155
Ambessa,0.865269603517344
Yorick,0.8629595846640172
Gwen,0.8601829638029727
Mordekaiser,0.8585250846002922
Volibear,0.8550894474806556
Illaoi,0.854010432518756
Rengar,0.8464757147071146
Yasuo,0.8410951044898798
Riven,0.8399191755281358
Gnar,0.8316153682913071
Udyr,0.828487022060303
Maokai,0.8239546432165586
Jayce,0.815057701296403
Teemo,0.8114034880745666
Yone,0.8043452646608512
DrMundo,0.7954160523066733
Fiora,0.7865225100271186
Tryndamere,0.7706047752578334
Smolder,0.7572101048310641
Aurora,0.7433913470293044
Karma,0.7417588913256948
Kennen,0.7203649615213933
Heimerdinger,0.7191885138903035
Kayle,0.7176871000459945
Singed,0.6550449620406134
