partner,score
Kled,0.9631865838445188
Shen,0.8928619541266969
Illaoi,0.8608946407048528
Ambessa,0.8512990867787626
Camille,0.8508105627709073
Volibear,0.8455182986074032
Tryndamere,0.8432242705503986
Maokai,0.8306662104461644
Udyr,0.827393492189973
Poppy,0.8273628925043068
Darius,0.8251690178922402
Garen,0.8192308831744489
Renekton,0.8001063341435379
Malphite,0.7846913032762948
Urgot,0.7782029286020304
Sett,0.7720530605194871
Zac,0.7658438489258682
Teemo,0.7540517382596749
Gnar,0.7498451558081793
Fiora,0.7427761471151256
Warwick,0.7411208829937204
KSante,0.7371489381332467
Ornn,0.7369497439981738
Gragas,0.7310516456016642
Nasus,0.7241562118682265
Gwen,0.7207346442803682
Rengar,0.7171074182946275
Pantheon,0.7167124280495611
Olaf,0.712819101587164
Singed,0.7117190964353926
Akali,0.7114575383632349
Vladimir,0.7112088011966734
Riven,0.7098698828105912
Gangplank,0.7077352290194598
ChoGath,0.7073436262666681
Sylas,0.7068633729221265
Wukong,0.7032048308013661
Trundle,0.6983910117320996
Sion,0.696453565789326
Aurora,0.6959039701991996
Yorick,0.6945827496540602
Irelia,0.6699478406585744
Yone,0.6698316925397426
Aatrox,0.6661317190397562
DrMundo,0.6617539469619933
Galio,0.6556888745059316
TahmKench,0.65269528655058
Vayne,0.6467655279453217
Mordekaiser,0.64645728650864
Swain,0.6443086411234737
Cassiopeia,0.643140435591595
Jayce,0.6249736508769026
Kennen,0.6113737178090619
Smolder,0.60981541048415
Heimerdinger,0.605772401814743
Quinn,0.6048516586467976
Yasuo,0.6017423649204416
Kayle,0.5975930824331335
Karma,0.5937581841591256
Ryze,0.5668870598995076
Jax,0.5553242157470981
Rumble,0.5437860011853467
Varus,0.5152232906648377
