partner,score
Volibear,1.0948879724053775
Camille,1.0672904794815188
Gwen,1.061217527768408
Shen,1.047004292658411
Sylas,1.045711273664683
Kled,1.043517136863489
Trundle,1.039160407292292
Zaahen,1.0311286142430245
Warwick,1.0216562633818767
Aatrox,1.0200535550464969
Smolder,1.0075245027086037
Mordekaiser,1.0059214741804772
Illaoi,1.0004928892363065
Darius,0.9966879184328065
Sett,0.9928789608560589
Renekton,0.9923101609703963
Poppy,0.9920183014457981
Ornn,0.9890577505757073
Gragas,0.987526638604377
Teemo,0.983170259081473
KSante,0.9770169294501616
Yone,0.975161973868742
Nasus,0.9743143446278137
Galio,0.9733703066860413
Garen,0.9721561034878239
Jax,0.9657555883543629
Urgot,0.9619760485567779
Irelia,0.9534042442673923
Yorick,0.9531892329827116
Olaf,0.9504910534780582
Vayne,0.9463166776990526
Gangplank,0.9393202349362769
Varus,0.9390923781863239
Gnar,0.9390622268939693
Riven,0.9354545467033216
Karma,0.934823308785154
Kayle,0.9336259443895573
Fiora,0.9329034042760803
Pantheon,0.9295032345060451
Swain,0.9264243033717371
Ambessa,0.9251343203540551
Zac,0.9248495667324119
Akali,0.922188801963293
TahmKench,0.917506273900777
Singed,0.914900384370058
Wukong,0.9089036095226214
Jayce,0.9024695812722152
Sion,0.8987561195161614
Quinn,0.8978366841087095
Yasuo,0.8948546908021503
Tryndamere,0.8893767032686327
Cassiopeia,0.8874942220461677
Ryze,0.8830983107406611
ChoGath,0.8725961781963214
Rumble,0.8585280994536665
Aurora,0.8477504360987699
Heimerdinger,0.8439969358895716
Viktor,0.8260542316754962
Malphite,0.800272789524114
Udyr,0.7926137841823009
Rengar,0.7915670610568245
Kennen,0.7837136847223469
Maokai,0.7674274750948088
DrMundo,0.7610811250925216
