partner,score
Sylas,0.9751708291223533
Kled,0.9488726996581359
DrMundo,0.9322649260353344
Ryze,0.9311810296878031
Ornn,0.8820278680651504
Aurora,0.8797884246353869
Galio,0.8637600048171046
KSante,0.8625147593128286
Gnar,0.8617972369947162
Olaf,0.8576972902007132
Aatrox,0.8272632381148862
Nasus,0.8259633699542619
Urgot,0.8215312357467095
Vladimir,0.8190365702824218
Illaoi,0.8185879270422605
ChoGath,0.8166466206514646
Rengar,0.814838714455799
TahmKench,0.8097644801259491
Poppy,0.8079162008247935
Akali,0.8055160952326015
Shen,0.8035115229364818
Garen,0.8017150024088149
Gwen,0.7946984803044481
Sion,0.7933033443540644
Ambessa,0.7927486266115171
Gragas,0.7927014087254276
Rumble,0.7854442925326649
Smolder,0.7844530503200482
Mordekaiser,0.7843223877208249
Udyr,0.7797165782674931
Heimerdinger,0.7789011026114685
Yorick,0.7773912880161596
Cassiopeia,0.771859034907212
Jayce,0.7654516525416537
Swain,0.7616667317984568
Teemo,0.7600497007145992
Fiora,0.7568360886721748
Tryndamere,0.7550094145254272
Darius,0.7320464324738207
Zac,0.7177264999617773
Varus,0.7063859814003988
Viktor,0.7032048308013661
Vayne,0.6986754517248537
Quinn,0.6971902527937225
Kennen,0.6964378593477083
Yone,0.6880577805794229
Singed,0.6880362304729921
Pantheon,0.686280687515836
Maokai,0.6814237320620217
Yasuo,0.6763753111649304
Karma,0.6661633456650438
Warwick,0.6641625237907723
Volibear,0.6557950575085776
Riven,0.6545832853642755
Kayle,0.6534483769246106
Gangplank,0.6445173315433677
Malphite,0.6313675499683364
Irelia,0.6292588904997842
Trundle,0.625182951715227
Sett,0.6213865536552688
Renekton,0.6125300057216523
Camille,0.6004135797684081
Jax,0.5129338418374143
