partner,score
Urgot,0.934073613753621
Kled,0.9145939711889393
Poppy,0.9004441047126188
Gragas,0.9002932108043763
Malphite,0.8896115032178289
Quinn,0.8717762488883933
Sylas,0.8692230145242248
Illaoi,0.8689790017356184
Galio,0.8629080979784693
Jayce,0.8627772858985795
Gnar,0.8599059574400788
Pantheon,0.852686260743845
Teemo,0.852400517406952
Aurora,0.8501657305635619
Nasus,0.8416270271755218
Rengar,0.8355416300144625
Ornn,0.8349399481530053
Ryze,0.8208950819751561
Vladimir,0.8201508806337028
Tryndamere,0.8198174158625109
DrMundo,0.8115094609554203
Shen,0.807976503698142
Sion,0.8068970338137263
Akali,0.8031396247493614
Gangplank,0.8019982657730107
KSante,0.7861364190777
Maokai,0.7759110719316302
ChoGath,0.7728298428734215
TahmKench,0.7674407298529471
Renekton,0.7648326013864691
Warwick,0.7534006535074519
Mordekaiser,0.748540369672557
Vayne,0.74775949447543
Garen,0.7452295704771621
Cassiopeia,0.7446694584502505
Volibear,0.7440325158489188
Kennen,0.7392353271717755
Aatrox,0.7243697591155597
Olaf,0.7201620817547485
Zac,0.7182693627845482
Rumble,0.7086096146338696
Darius,0.7035995574379423
Camille,0.6944866689009013
Wukong,0.6880577805794229
Heimerdinger,0.6873182031923706
Sett,0.6862532573329934
Udyr,0.6793259755087577
Ambessa,0.6746507882151951
Trundle,0.6718262576354261
Viktor,0.6698316925397426
Smolder,0.665924920438931
Karma,0.665125277201613
Fiora,0.6640350196230007
Jax,0.6588903308657001
Swain,0.6545603907154054
Yasuo,0.6514693023005939
Singed,0.6511970201949796
Varus,0.6405307438150634
Riven,0.6265428641395225
Kayle,0.6231719288887658
Yorick,0.6211816948776349
Irelia,0.6151090484713092
Gwen,0.5409260855800782
