partner,score
Warwick,1.010630496476598
Tryndamere,1.0000331285584805
Darius,0.9963606605980571
Renekton,0.9939841739770208
Jax,0.9910331829126333
Garen,0.9799986498278446
Galio,0.9752027001267068
Volibear,0.9681328429114721
Sett,0.9626921003627835
Akali,0.9626237029693763
Shen,0.9616379604923097
Vladimir,0.9531892329827116
Zaahen,0.9508006725438722
Camille,0.9486848743131393
Poppy,0.9451430116604471
Aatrox,0.9448098411580476
Pantheon,0.9442518634684124
Riven,0.940449742223932
Urgot,0.9401832577336138
Trundle,0.9386124572643708
Fiora,0.9351034803307022
Malphite,0.9303588208759535
Illaoi,0.9300890161076292
Singed,0.9274950450289662
Udyr,0.9268038477950523
Zac,0.9196949777054116
Kennen,0.9184907243470086
Sylas,0.9172816296519004
Cassiopeia,0.9129051652662985
Gnar,0.91141930729315
Teemo,0.9085410141876081
Yasuo,0.9062389627888554
Kled,0.9029549685088061
Heimerdinger,0.8930617355799
Gangplank,0.8876629089772854
Ambessa,0.8803866857201718
Aurora,0.8800332869776368
Jayce,0.8788762896512392
Ryze,0.8752028500682308
Gragas,0.8727223834264369
Nasus,0.8705820090080627
KSante,0.8636733329251538
Vayne,0.8629595846640172
Olaf,0.8515665982474259
Wukong,0.8390859319686124
Swain,0.837335092497554
Kayle,0.8357548827041874
Maokai,0.8335245238658494
Mordekaiser,0.8296238424841884
TahmKench,0.8255822070233425
Viktor,0.8248894410332884
ChoGath,0.824291702000363
Yone,0.8096992920682634
Irelia,0.8068856475746027
Quinn,0.799082324654686
Varus,0.7980709970563038
Gwen,0.7949529113096949
DrMundo,0.7881814655198411
Karma,0.7870212808851342
Smolder,0.7863133697285452
Ornn,0.7796255947047719
Sion,0.7756887739974055
Rumble,0.765048140226562
Rengar,0.7405525397841801
