partner,score
Galio,1.095093844163321
Sylas,1.0895789427108944
Ryze,1.0822912005578824
Akali,1.0597267960001382
Viktor,1.0438443624766223
Vladimir,1.0311286142430245
Rumble,1.020312367760818
Malphite,1.0141728749530696
Jayce,1.0117000918996961
Garen,1.0088845217104248
Nasus,1.0066065324681728
Aatrox,1.0054392814283315
Cassiopeia,1.0013394017804889
Sion,1.0000331845387302
Zac,0.9980857430871088
ChoGath,0.9969011334050899
Gangplank,0.996728107586077
Smolder,0.9911518789979274
Kennen,0.9902956267730442
TahmKench,0.9847039809987352
DrMundo,0.9831359754163114
Gragas,0.9828597290700797
Poppy,0.9808963069480781
Teemo,0.9798722117315648
Varus,0.9781691834192194
Gnar,0.9744984844454996
Mordekaiser,0.9607074002599233
Urgot,0.9552457932385479
Vayne,0.9538858560525453
Heimerdinger,0.9526180150789897
Ornn,0.9522205916343893
Udyr,0.9509508644937704
Yorick,0.9508006725438722
Shen,0.9502823084342132
Aurora,0.9496670318827816
Quinn,0.9466726308505031
Wukong,0.9445111419962902
Gwen,0.9398250094102512
Olaf,0.9366057272230206
Karma,0.935157383782962
Darius,0.934200641603538
Renekton,0.9312254137167314
KSante,0.9264873616335602
Yasuo,0.9258019916084493
Pantheon,0.9247508510235452
Irelia,0.9246774973458901
Sett,0.9208462265710201
Rengar,0.9205304929792839
Jax,0.9185926321098077
Tryndamere,0.9185217814262765
Maokai,0.9159374802444142
Ambessa,0.9118276123887367
Kayle,0.9095724257081956
Fiora,0.9076190409597488
Illaoi,0.9072754997153047
Riven,0.9032702382549659
Warwick,0.9024802916496019
Trundle,0.8971127448548929
Kled,0.8966932763704081
Swain,0.8796524482986947
Camille,0.8759569473650215
Singed,0.871988012804976
Yone,0.867657587118729
Volibear,0.867022414920224
