partner,score
Zaahen,0.9980857430871088
Fiora,0.9961069014836434
Ryze,0.9895086927695623
Vayne,0.975730436970747
Kayle,0.9728753155382615
Pantheon,0.9537053842669728
Aatrox,0.9504249180823183
Volibear,0.9488435206156819
Renekton,0.9439304084310812
Camille,0.9418259581292514
Sett,0.9350858714459496
Gnar,0.9324191416509395
Kennen,0.9271807279469626
Gangplank,0.927017837711307
Darius,0.9268277787445692
Kled,0.9265806480268272
Vladimir,0.9248495667324119
Smolder,0.921797560922497
Sylas,0.9210481512469584
Yorick,0.9196949777054116
ChoGath,0.915852167395322
Swain,0.9092001967426002
Jayce,0.9009471138149837
Ornn,0.8867698819228309
Heimerdinger,0.885999973031405
Shen,0.8840997205129201
Gragas,0.8817653000538086
Urgot,0.8815643199989572
Quinn,0.8793975153130082
Nasus,0.8781035082552429
Jax,0.8762340178330266
Singed,0.8702369268222926
KSante,0.867704747671716
Wukong,0.8643767596224967
Cassiopeia,0.8633179449669006
Ambessa,0.8631130221625215
Tryndamere,0.8576493942264114
Malphite,0.854637887949018
Rumble,0.8543282347419026
Akali,0.8523531942540508
Yone,0.8522120980207468
Trundle,0.8497712025966145
Viktor,0.8497376136391632
Gwen,0.8496839230801494
Irelia,0.8492702200439569
Mordekaiser,0.8449708244551338
Illaoi,0.8344993519274159
Garen,0.8296233542395015
Warwick,0.8288926861124171
Aurora,0.8278241864062624
Varus,0.8266739664073571
Maokai,0.8095058106591798
Poppy,0.8056771224255561
TahmKench,0.8054761168559907
Teemo,0.7993663885570532
DrMundo,0.7977513794214933
Olaf,0.7891628016391721
Riven,0.7883116389254488
Yasuo,0.7800335479703387
Galio,0.7723424100080252
Sion,0.7643578986057581
Karma,0.7429591170220445
Udyr,0.7383358962556977
Rengar,0.6859600244521423
